accepted_name,scientific_name,taxonomic_status,family,broader,establishment_means,sublist,year_first_record,year_last_record,year_first_voucher,year_last_voucher,year_first_iNat_obs,year_last_iNat_obs,first_record_type,last_record_type,latitude_first_record_recent_discovery,longitude_first_record_recent_discovery,latitude_last_record_long_unobserved,longitude_last_record_long_unobserved
Penstemon heterophyllus,Penstemon heterophyllus,accepted,Plantaginaceae,3.dicot,native,old and recent records,1863,2021,1863,1941,2021,2021,voucher,iNat,,,,
Penstemon rydbergii,Penstemon rydbergii,accepted,Plantaginaceae,3.dicot,native,old and recent records,1863,2023,1863,2005,2006,2023,voucher,iNat,,,,
Leptosiphon harknessii,Leptosiphon harknessii,accepted,Polemoniaceae,3.dicot,native,old and recent records,1863,2005,1863,2005,,,voucher,voucher,,,,
Polemonium californicum,Polemonium californicum,accepted,Polemoniaceae,3.dicot,native,old and recent records,1863,2023,1863,2007,2011,2023,voucher,iNat,,,,
Polemonium eximium,Polemonium eximium,accepted,Polemoniaceae,3.dicot,native,old and recent records,1863,2023,1863,2012,2015,2023,voucher,iNat,,,,
Bistorta bistortoides,Bistorta bistortoides,accepted,Polygonaceae,3.dicot,native,old and recent records,1863,2023,1863,2007,2005,2023,voucher,iNat,,,,
Eriogonum incanum,Eriogonum incanum,accepted,Polygonaceae,3.dicot,native,old and recent records,1863,2023,1863,2009,2010,2023,voucher,iNat,,,,
Eriogonum nudum,Eriogonum nudum,accepted,Polygonaceae,3.dicot,native,old and recent records,1863,2023,1863,2021,2015,2023,voucher,iNat,,,,
Rumex paucifolius,Rumex paucifolius,accepted,Polygonaceae,3.dicot,native,old and recent records,1863,2015,1863,2006,2015,2015,voucher,iNat,,,,
Aquilegia formosa,Aquilegia formosa,accepted,Ranunculaceae,3.dicot,native,old and recent records,1863,2023,1863,2007,2006,2023,voucher,iNat,,,,
Ceanothus cordulatus,Ceanothus cordulatus,accepted,Rhamnaceae,3.dicot,native,old and recent records,1863,2023,1863,2003,2008,2023,voucher,iNat,,,,
Ceanothus integerrimus,Ceanothus integerrimus,accepted,Rhamnaceae,3.dicot,native,old and recent records,1863,2023,1863,1996,2005,2023,voucher,iNat,,,,
Ceanothus leucodermis,Ceanothus leucodermis,accepted,Rhamnaceae,3.dicot,native,old and recent records,1863,2020,1863,1944,2020,2020,voucher,iNat,,,,
