starting_name,family_TNRS,current_name,infra_taxa,name_source,in_Yosemite_list,outcome,broader,voucher_obs,voucher_obs_coord,year_first,first_observer,year_last,notes
Pellaea andromedaefolia,Pteridaceae,Pellaea andromedifolia,,TNRS_synonym,FALSE,changed current name,1.ferns/primitive,2,2,1944,"Sharsmith, Carl W.",1944,
Pellaea andromedifolia,Pteridaceae,Pellaea andromedifolia,,CCH_synonym,TRUE,,1.ferns/primitive,5,3,1944,"Sharsmith, Carl W.",1965,
Pellaea breweri,Pteridaceae,Pellaea breweri,,CCH_synonym,TRUE,,1.ferns/primitive,27,13,1866,"Rattan, Volney",2005,
Pellaea bridgesii,Pteridaceae,Pellaea bridgesii,,CCH_synonym,TRUE,,1.ferns/primitive,66,37,1863,"Brewer, William Henry",2005,
Pellaea glaciogena,Pteridaceae,Pellaea glaciogena,,TNRS_synonym,FALSE,"add, new native",1.ferns/primitive,7,5,1878,"Bradley, C. B.",2005,
Pellaea X glaciogena,Pteridaceae,Pellaea glaciogena,,TNRS_synonym,FALSE,changed current name,1.ferns/primitive,1,,1961,"Pray, Tom R.",1961,
Pellaea atropurpurea,Pteridaceae,Pellaea mucronata,,via_gbif,,,1.ferns/primitive,,,,,,
Pellaea brachyptera,Pteridaceae,Pellaea mucronata,,CCH_synonym,TRUE,,1.ferns/primitive,3,2,1915,"Gibbons, Mary S.",1940,
Pellaea longimucronata,Pteridaceae,Pellaea mucronata,,TNRS_synonym,TRUE,,1.ferns/primitive,4,1,1924,"Michael, Enid",1941,
Pellaea mucronata,Pteridaceae,Pellaea mucronata,,CCH_synonym,TRUE,,1.ferns/primitive,29,10,1888,unknown,1971,
Pellaea mucronata subsp. californica,Pteridaceae,Pellaea mucronata,,CCH_synonym,TRUE,,1.ferns/primitive,2,2,1956,"Pray, Tom R.",1958,
Pellaea mucronata subsp. mucronata,Pteridaceae,Pellaea mucronata,,CCH_synonym,TRUE,,1.ferns/primitive,,,,,,
Pellaea mucronata var. californica,Pteridaceae,Pellaea mucronata,,CCH_synonym,TRUE,,1.ferns/primitive,8,4,1878,"Bradley, C. B.",1963,
Pellaea mucronata var. mucronata,Pteridaceae,Pellaea mucronata,,CCH_synonym,TRUE,,1.ferns/primitive,12,9,1878,"Bradley, C. B.",1957,
Pellaea truncata,Pteridaceae,Pellaea truncata,,from_gbif,,,1.ferns/primitive,,,,,,
Pentagramma pallida,Pteridaceae,Pentagramma pallida,,CCH_synonym,TRUE,,1.ferns/primitive,3,1,1946,"Keck, David D.",1958,
Pityrogramma triangularis var. pallida,Pteridaceae,Pentagramma pallida,,CCH_synonym,TRUE,,1.ferns/primitive,,,,,,
Pentagramma triangularis,Pteridaceae,Pentagramma triangularis,,CCH_synonym,TRUE,,1.ferns/primitive,2,,1879,unknown,1965,
Pentagramma triangularis subsp. triangularis,Pteridaceae,Pentagramma triangularis,,CCH_synonym,TRUE,,1.ferns/primitive,9,1,1875,"McLean, F. P.",1957,
Pityrogramma triangularis,Pteridaceae,Pentagramma triangularis,,CCH_synonym,TRUE,,1.ferns/primitive,4,1,1936,"Williams, H.",1957,
Selaginella bigelovii,Selaginellaceae,Selaginella bigelovii,,via_gbif,,,1.ferns/primitive,,,,,,add
Selaginella hanseni,Selaginellaceae,Selaginella hansenii,,TNRS_synonym,TRUE,,1.ferns/primitive,3,2,1927,"Michael, Enid",1944,
Selaginella hansenii,Selaginellaceae,Selaginella hansenii,,CCH_synonym,TRUE,,1.ferns/primitive,14,6,1902,"Bacon, Mrs. D. G.",2009,
Selaginella wallacei,Selaginellaceae,Selaginella wallacei,,via_gbif,,out of range,1.ferns/primitive,,,,,,add
Selaginella watsoni,Selaginellaceae,Selaginella watsonii,,TNRS_synonym,TRUE,,1.ferns/primitive,6,1,1926,"Michael, Enid",1956,
Selaginella watsonii,Selaginellaceae,Selaginella watsonii,,CCH_synonym,TRUE,,1.ferns/primitive,39,24,1919,"Clemens, Mrs. Joseph",2005,
Woodsia oregana,Woodsiaceae,Woodsia oregana,,Yos_scientific,,,1.ferns/primitive,,,,,,
Physematium scopulinum,Woodsiaceae,Woodsia scopulina,,via_gbif,,,1.ferns/primitive,,,,,,
Woodsia scopulina,Woodsiaceae,Woodsia scopulina,,CCH_synonym,TRUE,,1.ferns/primitive,23,10,1866,"Bolander, Henry Nicholas",2005,
