accepted_name,,scientific_name,status,family,broader,synonym_matches,establishment_means,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,possibly_valid_needs_ID,iNat_outcome,iNat_outcome_detailed,parks_outcome,parks_outcome_detailed,voucher_outcome,voucher_outcome_detailed,voucher_obs,voucher_obs_to_1990,voucher_obs_coord,year_first,first_observer,year_last,first_iNat_observer,first_iNat_date,last_iNat_observer,last_iNat_date,iNat_year_first,iNat_year_last,voucher_notes,iNat_needs_ID_only_verdict,symbiota,iNat_missing_in_gbif,use_as_example,summary,vouchers_with_coordinates,rand_check,reason_for_voucher_only,notes_about_vouchers,notes_for_parks_only,reason_for_iNat_only_v3,reason_for_iNat_only_v2,iNat_notes,range_from_iNat_or_Jepson,voucher_links,iNat_needs_ID_only,iNat_needsID_only_notes,taxonomic_concerns,reason_for_parks_list,reason_for_iNat_only,first_record,last_record,voucher_count
Poa keckii,0,Poa keckii,current,Poaceae,4.monocot,,native,,1,1,1,,1,1,,1,1,1,possibly valid needs ID,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,16,10,15,1898,"Congdon, Joseph Whipple",2017,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Poa leibergii,0,Poa leibergii,current,Poaceae,4.monocot,,N/A,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside park or missing coordinates' found, but rejected due to 'incorrect identification'; not in park",5,5,1,1935,"Thomas, W. D.",1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poa leptocoma,0,Poa leptocoma,current,Poaceae,4.monocot,,native,1,1,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,8,2,6,1940,"Sharsmith, Carl W.",2012,matsonburger,8/8/2010,matsonburger,8/8/2010,2010,2010,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Poa lettermanii,0,Poa lettermanii,current,Poaceae,4.monocot,,native,,,,1,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",identification error,"remove, incorrect identification",1,1,1,1973,"Sands, Peter B.",1973,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_2,wrong_ID_probably,CCH: 1 1973 voucher from Mt. Dana in UC Davis herbarium; Taylor: indicates no vouchers from area - in southern SN and W&I; name clearly valid,,,,,southern Sierra Nevada and W&I mountains,,,,mis-identification,,,1973,1973,1
Poa nemoralis,0,Poa nemoralis,current,Poaceae,4.monocot,,introduced,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,8,7,7,1921,"Michael, Enid",1998,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,"Yosemite Valley, Hetch Hetchy",,correct-old&recent_vouchers,,,,,,,,,,,,,1921,1998,7
Poa palustris,0,Poa palustris,current,Poaceae,4.monocot,,introduced,,,,1,,,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",XX-not in graphics,"XX-not on parks list, but occurs in park",retain exact name,retain exact name,1,,1,2010,"Taylor, Dean William",2010,,,,,,,,,,,,agree_with_has_voucher&NOT_on_park_list,Wawona,v_1,correct-recent_vouchers_only,only voucher is 2010 collection by Dean Taylor in Wawona,,,,,"scattered observations troughout US, including just east of Yosemite (Bloody Canyon)",,,,,,,2010,2010,1
Poa pratensis,0,Poa pratensis,current,Poaceae,4.monocot,,introduced,1,2,1,1,iNat-not-gbif,1,1,1,1,1,1,,"retain, restricted license","retain, but restricted license",retain exact name,retain exact name,retain exact name,retain exact name,31,27,20,1866,"Bolander, Henry Nicholas",2021,seancarson_,10/19/2021,seancarson_,10/19/2021,2021,2021,,,in Symbiota,restricted_license,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,1888,2021,29
Poa pringlei,0,Poa pringlei,current,Poaceae,4.monocot,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,4,3,4,1936,"Sharsmith, Carl W.",1990,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Poa secunda,0,Poa secunda,current,Poaceae,4.monocot,,native,1,6,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,104,84,88,1885,"Congdon, Joseph Whipple",2011,ncarbone88,5/22/2016,ncarbone88,5/22/2016,2016,2016,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Poa stebbinsii,0,Poa stebbinsii,current,Poaceae,4.monocot,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,30,22,29,1897,"McLean, F. P.",2012,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Poa trivialis,0,Poa trivialis,current,Poaceae,4.monocot,,introduced,,,,1,,,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",XX-not in graphics,"XX-not on parks list, but occurs in park",retain exact name,retain exact name,2,1,2,1888,"Congdon, Joseph Whipple",2009,,,,,,,,,,,,agree_with_has_voucher&NOT_on_park_list,Yosemite Valley,v_2,correct-recent_vouchers_only,CCH: 1 recent Taylor voucher from Yosemite Valley; quite a few Congdon vouchers from uncertain locaitons 1800's that aren't likely correct; I'm ignoring them,,,,,,,,,,,,2009,2009,1
Poa unilateralis,0,Poa unilateralis,current,Poaceae,4.monocot,,N/A,,,,1,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",taxonomic or nomenclatural error,"remove, untraced taxonomic error",2,2,2,1890,"Congdon, Joseph Whipple",1890,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_2,taxonomic_mismatch-1800's_voucher,CCH: 3 1800's Congdon observations,,,,,,,,,taxonomic_mismatch-1800's_voucher,,,1890,1890,2-Congdon
Poa wheeleri,0,Poa wheeleri,current,Poaceae,4.monocot,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,66,55,51,1895,"Congdon, Joseph Whipple",2017,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,"throughout, eastern boundary",,correct-old&recent_vouchers,,,,,,,,,,,,,1902,2017,52
Poa wheeleri,1,Poa nervosa,misapplied,Poaceae,4.monocot,misapplied to Poa wheeleri,N/A,,,,1,,misapplied,misapplied,misapplied,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",taxonomic or nomenclatural error,"remove, misapplied name",1,1,1,1919,"Evans, Herbert McLean",1919,,,,,,,,,,,,disagree_with_has_voucher&parks_list,throughout,v_2,taxonomic_mismatch-misapplied,"CCH: many vouchers through 1963, then none; Taylor: name misapplied to Poa wheeleri",,,,,,,,,taxonomic_mismatch-misapplied,,,1895,1963,29
Podagrostis aequivalvis,0,Podagrostis aequivalvis,current,Poaceae,4.monocot,,N/A,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside park or missing coordinates' found, but rejected due to 'untraced taxonomic error'; not in park",5,5,,1894,"Congdon, Joseph Whipple",1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polypogon maritimus,0,Polypogon maritimus,current,Poaceae,4.monocot,,introduced,,,1,,,1,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",1,,1,1999,"Jelinek, Bradley",1999,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,Yosemite Valley,pl_1,,,Taylor: 1 voucher from Mirror Lake,,,,,,,,,vouchers not in database,,1999,1999,1
Polypogon monspeliensis,0,Polypogon monspeliensis,current,Poaceae,4.monocot,,introduced,,,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",3,2,2,1895,"Lembert, J. B.",1999,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,"Yosemite Valley, Hetch Hetchy",pl_1,,,"CCH, Taylor: 2 vouchers, one from 1885 (Yosemite Valley), one from 1999 (HH)",,,,,,,,,vouchers not in database-old&recent vouchers,,1895,1999,3
Polypogon viridis,0,Polypogon viridis,current,Poaceae,4.monocot,Agrostis viridis,introduced,,,1,,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",1,1,1,1934,"Bartholomew, Paul S.",1934,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,Piute Creek,pl_1,,,"CCH, Taylor: 2 old Yosemite vouchers",,,,,,,,,vouchers not in database-old vouchers only,,1934,1934,1
Pseudoroegneria spicata,0,Pseudoroegneria spicata,current,Poaceae,4.monocot,Elymus spicatus,native,,,1,,,,,,,,,,XX-not in graphics,"XX-not in iNat, but occurs in park",databasing discrepancy,"remove, designated as 'False Report'",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside park or missing coordinates' found, but rejected due to 'untraced taxonomic error'; not in park",2,2,2,1944,"Sharsmith, Carl W.",1974,,,,,,,,,,,,agree_with_park_list&YES_vouchers_exist,Tuolumne,pl_1,,,"CCH: 2 vpuchers, one from 1944, 1974; can't figure out which of many names is used in Taylor",,,,,,,,,vouchers not in database-old vouchers only,,1944,1974,2
Ptilagrostiella kingii,0,Ptilagrostiella kingii,current,Poaceae,4.monocot,Stipa kingii,native,4,1,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,35,30,26,1866,"Bolander, Henry Nicholas",2007,matsonburger,8/5/2010,tmessick,10/11/2022,2010,2022,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Puccinellia distans,0,Puccinellia distans,current,Poaceae,4.monocot,,introduced,,,,1,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",taxonomic or nomenclatural error,"remove, untraced taxonomic error",1,1,1,1944,"Howell, John Thomas",1944,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_2,taxonomic_mismatch-wrong synonym matching,"CCH: single 1944 voucher from Howell at Soda Springs; Taylor indicates east side only, putative invasive; determination history shows it was originally Puccinellia nuttalliana, which was marked as synonymous with Puccinellia distans",,,,,,,,,taxonomic_mismatch-wrong synonym matching,,,1944,1944,1
Puccinellia nuttalliana,0,Puccinellia nuttalliana,current,Poaceae,4.monocot,,native,,,1,1,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,1,1,1,1949,"Sharsmith, Carl W.",1949,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,v_3,correct-old_vouchers_only,CCH: 1 Sharsmith voucher from Soda Springs; 2nd mentioned in Taylor same location,,,,,,,,,,,,,,
Scribneria bolanderi,0,Scribneria bolanderi,current,Poaceae,4.monocot,Deschampsia bolanderi,native,,,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain species under synonymous name,retain species under synonymous name,10,8,8,1888,"Congdon, Joseph Whipple",2009,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_voucher_under_synonym,,pl_1,,,"Taylor: Yosemite vouchers including brink Bridalveil Falls, Soda Springs",,,,,,,,,synonym,,,,
Scribneria bolanderi,1,Deschampsia bolanderi,synonym,Poaceae,4.monocot,Scribneria bolanderi,native,,,,1,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,,,,,,,,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,v_2,taxonomic_mismatch-synonym,CCH: no vouchers; gbif: resolves to Scribneria bolanderi,,,,,,,,,taxonomic_mismatch-synonym,,,,,
Secale cereale,0,Secale cereale,current,Poaceae,4.monocot,,introduced,,,1,1,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in park",geographic error,"remove, species range far from park",identification error,"remove, incorrect identification",1,1,1,1962,"Jones, William R.",1962,,,,,,,,,,,,agree_with_has_voucher&YES_on_park_list,Tuolumne,v_3,correct-old_vouchers_only / wrong_ID,a single voucher from Tuolumne from 1962 - maybe a stray weed - but only voucher in all of Mariposa/Tuolumne counties,inclusion on parks list based on erroneous voucher,,,,,,,,,,,1962,1962,1
Setaria pumila,0,Setaria pumila,current,Poaceae,4.monocot,,introduced,,,1,,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",4,4,2,1929,"Michael, Enid",1963,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,Yosemiet Valley,pl_1,,,"iNat: mostly on East Coast, some in CA, none in Sierra; Taylor: 3 Yosemite Valley vouchers",,,,,,,,,vouchers not in database,,1929,1963,4
Setaria viridis,0,Setaria viridis,current,Poaceae,4.monocot,,introduced,,1,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",5,2,5,1928,"Michael, Enid",1998,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,Yosemite Valley,pl_1,,,"CCH: many vouchers, especially recent ones",,,,,,,,,vouchers not in database-old&recent vouchers,,1928,1999,5
Sphenopholis intermedia,0,Sphenopholis intermedia,current,Poaceae,4.monocot,,N/A,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside park or missing coordinates' found, but rejected due to 'incorrect identification'; not in park",1,1,,1932,"Benson, Lyman D.",1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stipa lettermanii,0,Stipa lettermanii,current,Poaceae,4.monocot,"Eriocoma lettermanii, Achnatherum lettermanii",native,,,1,,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",5,5,4,1934,"Bartholomew, Paul S.",1977,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,"Miguel Meadow, Pate, Yosemite Creek",pl_1,,,"CCH: several vouchers from different park locations, through 1970; in Taylor as Achnatherum lettermanii",,,,,,,,,synonym; vouchers not in database-old vouchers only,,1934,1977,4
Stipa pinetorum,0,Stipa pinetorum,current,Poaceae,4.monocot,"Eriocoma pinetorum, Achnatherum pinetorum",native,,,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",7,2,7,1936,"Watson, Welland A.",2012,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,"Tuolumne, eastern boundary",pl_1,,,"CCH, Taylor: vouchers from along the Sierra Crest, mostly recent, but 1 Sharsmith",,,,,,,,,vouchers not in database-old&recent vouchers,,1936,2012,7
Thinopyrum intermedium,0,Thinopyrum intermedium,current,Poaceae,4.monocot,,introduced,,3,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove,,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,,maybe legit,"invasive, photo from middle of Yosemite Valley, not great photo, but looks quite different to RG photos",,,,,,
Torreyochloa erecta,0,Torreyochloa erecta,current,Poaceae,4.monocot,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,6,4,3,1908,"Hitchcock, A. S.",2007,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,v_1,correct-old&recent_vouchers,"scattered, believable vouchers throughout Yosemite, most recent from 1974",,,,,scattered observations throughout Sierra (including RG from me in Humphreys Basin),,,,,,,,,
Torreyochloa pallida,0,Torreyochloa pallida,current,Poaceae,4.monocot,,native,,1,1,1,,1,1,,1,1,1,possibly valid needs ID,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,26,20,17,1883,"Congdon, Joseph Whipple",2009,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Trisetum cernuum,0,Trisetum cernuum,current,Poaceae,4.monocot,,N/A,,,,,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside park or missing coordinates' found, but rejected due to 'untraced taxonomic error'; not in park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triticum aestivum,0,Triticum aestivum,current,Poaceae,4.monocot,,introduced,,,1,,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",,,,,,,,,,,,,,,in Symbiota,,,disagree_with_park_list&NO vouchers found,Yosemite Valley,pl_1,,,"CCH, Taylor: 1 undated voucher from Yosemite Valley",,,,,,,,,wrong range-El Portal vouchers,,x,x,1
Vulpia bromoides,0,Vulpia bromoides,current,Poaceae,4.monocot,,introduced,,,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",4,2,3,1931,"Keck, David D.",2003,,,,,,,,,,,,agree_with_park_list&YES_vouchers_exist,"Wawona Tunnel, Hetch Hetchy",pl_1,,,"CCH, Taylor: 3 recent, 1 old voucher",,,,,,,,,vouchers not in database-old&recent vouchers,,1967,2003,3
Potamogeton alpinus,0,Potamogeton alpinus,current,Potamogetonaceae,4.monocot,,native,,,1,,,1,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",1,,1,2003,"Colwell, Alison",2003,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,,pl_1,,,Taylor: 1 Yosemite vouchers,,,,,,,,,vouchers not in database,,2003,2003,1
Potamogeton berchtoldii,0,Potamogeton berchtoldii,current,Potamogetonaceae,4.monocot,Potamogeton pusillus var. tenuissimus,native,,,1,,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, not in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",1,1,,1919,"Clemens, Mrs. Joseph",1919,,,,,,,,,in Symbiota,,presumed extripated,disagree_with_park_list,,pl_1,,,"Botti: collected only at Soda Spring, TM; Taylor: found twice in 1800's  at Soda Springs, decades apart, but not since then, despite repeated searches; assumed extripated",,,,iNat: Europe & East Coast; no west coast state observations,,,,,wrong range-outside California,,,,
Potamogeton epihydrus,0,Potamogeton epihydrus,current,Potamogetonaceae,4.monocot,,native,,,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",10,2,9,1866,"Bolander, Henry Nicholas",2008,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,montane,pl_1,,,Taylor: multiple Yosemite vouchers; 1 from 1863 (Bolander); all others since 2003,,,,,,,,,vouchers not in database,,1866,2008,11
Potamogeton foliosus,0,Potamogeton foliosus,current,Potamogetonaceae,4.monocot,,native,,,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",4,2,3,1939,"Mason, Herbert L.",2008,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,Swamp Lake,pl_1,,,Taylor: Miguel Meadow voucher; CCH: multiple vouchers from Hetch Hetchy area broadly,,,,,,,,,vouchers not in database-old&recent vouchers,,1939,2008,3
Potamogeton gramineus,0,Potamogeton gramineus,current,Potamogetonaceae,4.monocot,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,12,8,7,1919,"Clemens, Mrs. Joseph",2006,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Potamogeton natans,0,Potamogeton natans,current,Potamogetonaceae,4.monocot,,native,6,1,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,21,20,9,1889,"Chesnut, Victor K.; ; Drew, Elmer R.",2006,lizzywenk,7/27/2012,chloe_and_trevor,9/1/2023,2012,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Potamogeton pusillus,0,Potamogeton pusillus,current,Potamogetonaceae,4.monocot,,native,,,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",4,2,3,1938,"Smith, Winifred M.",2004,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,montane,pl_1,,,"CCH, Taylor: multiple Yosemite vouchers",,,,,,,,,vouchers not in database-old&recent vouchers,,1919,2004,5
Potamogeton robbinsii,0,Potamogeton robbinsii,current,Potamogetonaceae,4.monocot,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,6,4,6,1937,"Mason, Herbert L.",2008,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Stuckenia filiformis,0,Stuckenia filiformis,current,Potamogetonaceae,4.monocot,,native,,,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",6,1,4,1898,"Congdon, Joseph Whipple",2010,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,Tuolumne,pl_1,,,"CCH, Taylor: multiple Yosemite vouchers; YNP = rare",,,,,,,,,vouchers not in database-old&recent vouchers,,1898,2010,5
Sparganium angustifolium,0,Sparganium angustifolium,current,Typhaceae,4.monocot,,native,3,4,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,26,21,16,1866,"Bolander, Henry Nicholas",2009,lizzywenk,7/10/2014,tmessick,10/11/2022,2014,2022,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Sparganium emersum,0,Sparganium emersum,current,Typhaceae,4.monocot,,native,,,1,1,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,5,5,3,1898,"Congdon, Joseph Whipple",1987,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,v_3,correct-old_vouchers_only,CCH: several old vouchers,,,,,,,,,,,,,,
Sparganium natans,0,Sparganium natans,current,Typhaceae,4.monocot,,native,,,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",7,4,7,1909,"Jepson, Willis L.",2008,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,"montane, Hetch Hetchy",pl_1,,,"Taylor, CCH: old and recent vouchers from multiple locations",,,,,,,,,vouchers not in database-old&recent vouchers,,1909,2008,8
Typha domingensis,0,Typha domingensis,current,Typhaceae,4.monocot,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove,,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,,"unlikely, photo doesn't allow ID anyway",no Sierra vouchers in gbif - only valley floor; no iNat either,,,,,,
Typha latifolia,0,Typha latifolia,current,Typhaceae,4.monocot,,native,2,2,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,2,2,1,1944,"Sharsmith, Carl W.",1958,mazer,11/23/2019,pemoore,11/17/2020,2019,2020,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Alisma subcordatum,0,Alisma subcordatum,current,Alismataceae,5.monocot-colorful,,N/A,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside park or missing coordinates' found, but rejected due to 'untraced taxonomic error'; not in park",2,2,,1921,"Michael, Enid",1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alisma triviale,0,Alisma triviale,current,Alismataceae,5.monocot-colorful,"Alisma plantago-aquatica var. americanum, Alisma plantago-aquatica var. triviale",native,,2,,1,,1,1,,1,,1,possibly valid needs ID,XX-not in graphics,"XX-not in iNat, but occurs in park",retain species under synonymous name,retain species under synonymous name,retain exact name,retain exact name,13,13,6,1889,"Chesnut, Victor K.; ; Drew, Elmer R.",1958,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list_under_synonym,various,v_2,correct-old_vouchers_only,CCH -old vouchers from many locations,,,,,,,,,,,,1922,1944,8
Alisma triviale,1,Alisma plantago-aquatica,misapplied,Alismataceae,5.monocot-colorful,misapplied to Alisma triviale,native,,1,1,,,misapplied,misapplied,misapplied,1,,,,XX-not in graphics,"XX-not in iNat, not in park",taxonomic or nomenclatural error,"remove, misapplied name",XX-not in graphics,"XX-no voucher, not in park",,,,,,,,,,,,,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,v_2,correct-old_vouchers_only,CCH -old vouchers from many locations,,,,,,,,,,,,1889,1958,
Damasonium californicum,0,Damasonium californicum,current,Alismataceae,5.monocot-colorful,,N/A,,,,,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside park or missing coordinates' found, but rejected due to 'untraced taxonomic error'; not in park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
