accepted_name,scientific_name,status,family,broader,synonym_matches,establishment_means,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,possibly_valid_needs_ID,iNat_outcome,parks_outcome,voucher_outcome,voucher_obs,voucher_obs_coord,year_first,first_observer,year_last,first_iNat_observer,first_iNat_date,last_iNat_observer,last_iNat_date,iNat_year_first,iNat_year_last,voucher_notes,iNat_needs_ID_only_verdict,symbiota,iNat_missing_in_gbif,use_as_example,summary,vouchers_with_coordinates,rand_check,reason_for_voucher_only,notes_about_vouchers,notes_for_parks_only,reason_for_iNat_only_v3,reason_for_iNat_only_v2,iNat_notes,range_from_iNat_or_Jepson,voucher_links,iNat_needs_ID_only,iNat_needsID_only_notes,taxonomic_concerns,reason_for_parks_list,reason_for_iNat_only,first_record,last_record,voucher_count
Polypodium californicum,Polypodium californicum,current,Polypodiaceae,1.ferns/primitive,,native,,5,1,,,1,1,,1,,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",2,,1941,"Keck, David D.",1965,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,,pl_1,,"2 CCH vouchers - 1941 (HH), 1965 (Arch Rock); not in Taylor",,,,,,,,,,vouchers not in database-old vouchers only,,1941,1965,2
Polypodium calirhiza,Polypodium calirhiza,current,Polypodiaceae,1.ferns/primitive,,native,,,1,1,,1,1,,1,,1,,"not in iNat, but occurs in park",retain on list,retain voucher,4,1,1924,"Michael, Enid",1983,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,v_3,correct-old_vouchers_only,,,,,,,,,,,,,1924,1983,4
Polypodium glycyrrhiza,Polypodium glycyrrhiza,current,Polypodiaceae,1.ferns/primitive,,native,,,1,,,,,,,,,,"XX-not in iNat, not in park","remove, False Report","XX-no voucher, not in park",,,,,,,,,,,,,,,,,disagree_with_park_list,,pl_1,,,Taylor: mentions name misapplied to plants in area; CCHL no vouchers,,,,,,,,,"wrong range - ""Not In Park - False Report""",,N/A,N/A,0
Polypodium hesperium,Polypodium hesperium,current,Polypodiaceae,1.ferns/primitive,,native,,,1,1,,1,1,,1,,1,,"not in iNat, but occurs in park",retain on list,retain voucher,2,2,1947,"Sharsmith, Carl W.",1983,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,v_3,correct-old_vouchers_only,CCH: 3 old vouchers,,,,,,,,,,,,1947,1983,2
Polypodium vulgare,Polypodium vulgare,current,Polypodiaceae,1.ferns/primitive,,N/A,,,,,,,,,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","XX-wrong ID voucher found in CCH download, not in park",2,,1958,"Rodin, Robert J.",1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polystichum scopulinum,Polystichum scopulinum,current,Polypodiaceae,1.ferns/primitive,,native,,,,,,,1,,1,,1,,"not in iNat, but occurs in park","not on parks list, but occurs in park","add, voucher found in CCH download",1,1,1939,"Butts, Edward C.",1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adiantum aleuticum,Adiantum pedatum,current,Pteridaceae,1.ferns/primitive,Adiantum aleuticum (misapplied),out-of-range,,,,1,,,,,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, misapplied name",,,,,,jmaughn,9/22/2007,plbuttercup,11/24/2023,2007,2023,,,,,,disagree_with_has_voucher&parks_list,,v_2,taxonomic_mismatch-split,"iNat: east coast only, where it is very common; not in CA on POWO either; but lots and lots of pre-1956 vouchers from  CCH, so must have been a split at some point; per Taylor misapplied",,,,,,,,,taxonomic_mismatch-split,,,1889,1969,8
Adiantum aleuticum,Adiantum aleuticum,current,Pteridaceae,1.ferns/primitive,Adiantum pedatum var. aleuticum,native,39,,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,21,9,1878,unknown,2007,jmaughn,9/22/2007,plbuttercup,11/24/2023,2007,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,First published in Rhodora 93: 112 (1991),,,,,,,,,,,,,,
Adiantum jordanii,Adiantum jordanii,current,Pteridaceae,1.ferns/primitive,,native,,,1,,,,,,1,,,,"XX-not in iNat, not in park","remove, range far from park","XX-taxonomic mismatch voucher found, not in park",1,1,1875,"McLean, F. P.",1875,,,,,,,,,in Symbiota,,,disagree_with_park_list,,pl_1,old_vouchers_only-1800's vouchers,,"iNat: Coast Range and very low elevation Sierra; Taylor: 1875 Yosemite Valley voucher the highest range record; he seems to trust this, but voucher just says ""Yosemite"" - and in 1875 that might well be outside the park",,,,,,,,,wrong range-Coast Range and much lower elevation Sierra,,1875,1875,1
Aspidotis californica,Aspidotis californica,current,Pteridaceae,1.ferns/primitive,Hemionitis californica,native,,1,,1,,1,1,,1,1,1,possibly valid needs ID,"not in iNat, but occurs in park","retain, synonym",retain voucher,9,7,1888,"Congdon, Joseph Whipple",2003,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list_under_synonym,,v_3,correct-old&recent_vouchers,"CCH: lots of older vouchers + 1 recent one, along western park boundary",,,,,,,,,,,,,,
