accepted_name,scientific_name,status,family,broader,synonym_matches,establishment_means,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,possibly_valid_needs_ID,iNat_outcome,parks_outcome,voucher_outcome,voucher_obs,voucher_obs_coord,year_first,first_observer,year_last,first_iNat_observer,first_iNat_date,last_iNat_observer,last_iNat_date,iNat_year_first,iNat_year_last,voucher_notes,iNat_needs_ID_only_verdict,symbiota,iNat_missing_in_gbif,use_as_example,summary,vouchers_with_coordinates,rand_check,reason_for_voucher_only,notes_about_vouchers,notes_for_parks_only,reason_for_iNat_only_v3,reason_for_iNat_only_v2,iNat_notes,range_from_iNat_or_Jepson,voucher_links,iNat_needs_ID_only,iNat_needsID_only_notes,taxonomic_concerns,reason_for_parks_list,reason_for_iNat_only,first_record,last_record,voucher_count
Fagonia laevis,Fagonia laevis,current,Zygophyllaceae,3.dicot,,N/A,,,,1,,,,,,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, wrong coordinates",,,,,,,,,,,,gbif_vouchers_only,,,,,disagree_with_has_voucher&parks_list,,v_2,wrong_coordinates-Riverside,"CCH: No vouchers; Taylor: not mentioned; gbif: 1voucher: ""Big Maria Mountains, 12 airline miles north of downtown Blythe. """,,,,,,https://www.gbif.org/occurrence/4073878908,,,,,,,,
Tribulus terrestris,Tribulus terrestris,current,Zygophyllaceae,3.dicot,,introduced,4,,1,1,1,1,1,1,,1,1,,retain observation,retain on list,retain voucher,1,1,2003,"Taylor, Dean William",2003,dan_johnson,9/10/2019,krcdp9,7/8/2023,2019,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,Yosemite Valley,,,CCH: 1 YV + quite a few just west of park boundary along Merced corridor,,,,,,,,,,,,2003,2003,1
Bulbostylis capillaris,Bulbostylis capillaris,current,Cyperaceae,4.monocot,,native,,,1,1,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,retain voucher,22,17,1866,"Bolander, Henry Nicholas",2009,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Calliscirpus brachythrix,Calliscirpus brachythrix,current,Cyperaceae,4.monocot,,native,,1,,1,,,1,,1,1,1,,"not in iNat, but occurs in park","not on parks list, but occurs in park",retain voucher,5,4,1938,"Howell, John Thomas",2007,,,,,,,,,,,,agree_with_has_voucher&NOT_on_park_list,,v_2,correct-old&recent_vouchers,"CCH: multiple vouchers from different locations through 1982; Taylor: long list of vouchers, indicates YNP-rare; includes one recent voucher of his own",,,,,,,,,,,,,,
Calliscirpus criniger,Calliscirpus criniger,current,Cyperaceae,4.monocot,,native,1,,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,21,15,1890,"Congdon, Joseph Whipple",2009,lifespulse,7/6/2022,lifespulse,7/6/2022,2022,2022,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,CCH: many old vouchers; recent one from Snow Flat & GC Tuolumne (no coordinates attached to these),,,,,,,,,,,,,,
Carex abrupta,Carex abrupta,current,Cyperaceae,4.monocot,,native,,2,1,1,,1,1,,1,1,1,possibly valid needs ID,"not in iNat, but occurs in park",retain on list,retain voucher,21,15,1866,"Bolander, Henry Nicholas",2010,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Carex albonigra,Carex albonigra,current,Cyperaceae,4.monocot,,native,,,1,1,,1,1,,,1,1,,"not in iNat, but occurs in park",retain on list,retain voucher,11,10,2006,"Grossenbacher, Dena",2012,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,along eastern boundary,v_1,correct-recent_vouchers_only,"10 YM vouchers, all since 2006 as part of Sky Islands project",,,,,"scattered observations, mostly in Rockies, but one RG in Sierra NF near Marie Lake (JMT)",,,,,,,2006,2010,10
Carex alma,Carex alma,current,Cyperaceae,4.monocot,,native,,,,,,,1,,1,,1,,"not in iNat, but occurs in park","not on parks list, but occurs in park","add, voucher found in CCH download",1,1,1937,"Reinecke, Lawrence W.",1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex amplifolia,Carex amplifolia,current,Cyperaceae,4.monocot,,native,,,1,1,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,retain voucher,17,7,1866,"Bolander, Henry Nicholas",2007,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Carex angustata,Carex angustata,current,Cyperaceae,4.monocot,,native,,1,1,1,,1,1,,1,1,1,possibly valid needs ID,"not in iNat, but occurs in park",retain on list,retain voucher,3,1,1948,"Sharsmith, Carl W.",2021,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,Yosemite Valley; recent only,,correct-recent_vouchers_only,,,,,,,,,,,,,1948,2021,3
Carex aperta,Carex aperta,current,Cyperaceae,4.monocot,,N/A,,,,,,,,,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park",XX-taxonomic mismatch voucher found in CCH download; not in park,1,,1899,"Congdon, Joseph Whipple",1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex aquatilis,Carex aquatilis,current,Cyperaceae,4.monocot,,native,,2,1,1,,1,1,,1,1,1,possibly valid needs ID,"not in iNat, but occurs in park",retain on list,retain voucher,5,4,1940,"Dunn, David",2006,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Carex athrostachya,Carex athrostachya,current,Cyperaceae,4.monocot,,native,,,1,1,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,retain voucher,39,15,1863,"Brewer, William Henry",2021,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Carex aurea,Carex aurea,current,Cyperaceae,4.monocot,,native,1,,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,12,10,1866,"Bolander, Henry Nicholas",2008,annienzelll,7/20/2021,annienzelll,7/20/2021,2021,2021,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Carex barbarae,Carex barbarae,current,Cyperaceae,4.monocot,,N/A,,,,,,,,,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park",XX-taxonomic mismatch voucher found in CCH download; not in park,1,1,1863,"Brewer, William Henry",1863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex bigelowii,Carex bigelowii,current,Cyperaceae,4.monocot,,N/A,,,,,,,,,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park",XX-taxonomic mismatch voucher found in CCH download; not in park,6,,1890,"Congdon, Joseph Whipple",1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex bolanderi,Carex bolanderi,current,Cyperaceae,4.monocot,,native,,,1,1,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,retain voucher,21,12,1863,"Brewer, William Henry",2007,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Carex brainerdii,Carex brainerdii,current,Cyperaceae,4.monocot,,native,,,1,1,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,retain voucher,12,9,1866,"Bolander, Henry Nicholas",2007,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,v_1,correct-old&recent_vouchers,"multiple CCH2 vouchers, old and new",,,,,"scattered observations in northern California, south through Tahoe area",,,,,,,,,
Carex breweri,Carex breweri,current,Cyperaceae,4.monocot,,native,2,1,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,25,18,1866,"Bolander, Henry Nicholas",2011,uropappus,8/16/2023,chloe_and_trevor,9/2/2023,2023,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Carex brunnescens,Carex brunnescens,current,Cyperaceae,4.monocot,,N/A,,,,,,,,,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park",XX-taxonomic mismatch voucher found in CCH download; not in park,1,,1898,"Congdon, Joseph Whipple",1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex buxbaumii,Carex buxbaumii,current,Cyperaceae,4.monocot,,native,,,1,,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",30,21,1866,"Bolander, Henry Nicholas",2010,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,,pl_1,,,"Taylor, CCH: many collections from Swamp Lake over time; also Soda Springs",,,,,,,,,vouchers not in database-old&recent vouchers,,1866,2010,32
Carex canescens,Carex canescens,current,Cyperaceae,4.monocot,,native,,,1,1,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,retain voucher,8,4,1944,"Sharsmith, Carl W.",2009,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,v_1,correct-old&recent_vouchers,"quite a few CCH2 vouchers from alpine, mostly Sharsmith or Sky Island project",,,,,throughout US and Eurasia; just 1 SN observation (Needs ID on east side),,,,,,,,,
Carex capillaris,Carex capillaris,current,Cyperaceae,4.monocot,"includes Carex tiogana, currently valid in Jepson, but not iNat",native,,,1,,,1,1,,1,1,1,,"XX-not in iNat, not in park",retain on list,"add, voucher found in CCH download",2,1,1938,"Mason, Herbert L.",2007,,,,,,,,,in Symbiota,,,disagree_with_park_list,,pl_1,,,CCH: 1 1938 voucher; Taylor: not listed in Taylor; iNat: far to north of CA,,,,,,,,,wrong range; 1 voucher = wrongID or wrong coordinates or synonym,,1938,1938,1
Carex capitata,Carex capitata,current,Cyperaceae,4.monocot,,native,1,,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,18,16,1937,"Sharsmith, Carl W.",2013,annienzelll,7/30/2021,annienzelll,7/30/2021,2021,2021,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Carex congdonii,Carex congdonii,current,Cyperaceae,4.monocot,,native,1,1,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,25,22,1895,"Congdon, Joseph Whipple",2012,paulexcoff,9/22/2019,paulexcoff,9/22/2019,2019,2019,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Carex cusickii,Carex cusickii,current,Cyperaceae,4.monocot,,native,,,1,1,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,retain voucher,3,2,1938,"Mason, Herbert L.",2006,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Carex davyi,Carex davyi,current,Cyperaceae,4.monocot,,native,,,1,,,1,1,,1,,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",2,2,1944,"Howell, John Thomas",1944,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,"Tuolumne, eastern boundary",pl_1,,,"Taylor, CCH: several collections by Howell in 1944, broadly around Tuolumne, but no others; iNat: few observations, but some as far south as Round Top (Carson Pass)",,,,,,,,,vouchers not in database-old vouchers only,,1944,1944,2
Carex deflexa,Carex brevipes,synonym,Cyperaceae,4.monocot,Carex deflexa var. boottii -> Carex brevipes,native,,,,1,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym other list,"remove, duplicate synonym",,,,,,,,,,,,,,,,,agree_with_has_voucher&YES_on_park_list_under_synonym,throughout,v_1,taxonomic_mismatch-renaming in progress,"many CCH2 vouchers from many locations, but all before 1976; then became Carex deflexa var. boottii, and more recently Carex rossii; POWO = non-current name, leads to Carex rossii",,,,,in iNat as Carex deflexa var. boottii https://www.inaturalist.org/taxa/80512-Carex-deflexa-boottii - synonyms not linked; in parks list under Carex rossii - except that isn't subspecies boottii,,,,,,,1894,1976,24
Carex deflexa,Carex deflexa,current,Cyperaceae,4.monocot,Carex deflexa var. boottii; part split into Carex rossii,native,,1,,1,,,1,,1,1,1,,"not in iNat, but occurs in park","not on parks list, but occurs in park",retain voucher,28,7,1888,"Congdon, Joseph Whipple",2010,,,,,,,,,,,,agree_with_voucher,,v_2,taxonomic_mismatch-renaming in progress,CCH: Carex deflexa var. boottii -> Carex brevipes; old&recent vouchers in CCH,,,,,,,,,taxonomic_mismatch-renaming in progress,,,1888,2010,29
Carex densa,Carex densa,current,Cyperaceae,4.monocot,,native,,,1,,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",4,1,1896,"Congdon, Joseph Whipple",1998,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,"Yosemite Valley, Hetch Hetchy",pl_1,,,"Taylor, CCH: just 2 vouchers, 1 old (Mather), 1 new (Yos Valley, thought to maybe be introduced to here)",,,,,,,,,vouchers not in database-old&recent vouchers,,1896,1998,2
Carex diandra,Carex diandra,current,Cyperaceae,4.monocot,,native,,,,,,,1,,,1,1,,"not in iNat, but occurs in park","not on parks list, but occurs in park","add, voucher found in CCH download",3,3,2003,"Taylor, Dean William",2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex disperma,Carex disperma,current,Cyperaceae,4.monocot,,N/A,,,,,,,,,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park",XX-taxonomic mismatch voucher found in CCH download; not in park,1,,1898,"Congdon, Joseph Whipple",1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex douglasii,Carex douglasii,current,Cyperaceae,4.monocot,,native,,1,1,,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",14,4,1866,"Bolander, Henry Nicholas",2011,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,throughout,pl_1,,,CCH: several recent and old vouchers from multiple locations,,,,,,,,,vouchers not in database-old&recent vouchers,,1866,2011,13
Carex echinata,Carex echinata,current,Cyperaceae,4.monocot,,native,,,1,1,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,retain voucher,14,7,1890,"Congdon, Joseph Whipple",2011,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Carex feta,Carex feta,current,Cyperaceae,4.monocot,,native,1,,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,43,20,1863,"Brewer, William Henry",2010,chloe_and_trevor,5/15/2022,chloe_and_trevor,5/15/2022,2022,2022,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Carex filifolia,Carex filifolia,current,Cyperaceae,4.monocot,,native,1,3,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,38,20,1863,"Brewer, William Henry",2011,ebertar,5/28/2023,ebertar,5/28/2023,2023,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Carex fissuricola,Carex fissuricola,current,Cyperaceae,4.monocot,,native,,1,1,1,,1,1,,1,1,1,possibly valid needs ID,"not in iNat, but occurs in park",retain on list,retain voucher,24,16,1863,"Brewer, William Henry",2007,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Carex flacca,Carex flacca,current,Cyperaceae,4.monocot,,N/A,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-needsID-remove,XX-iNat needs ID only,XX-iNat needs ID only,,,,,,,,,,,,,remove,,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,,"almost 100% certainly a misID, was a CV suggestion from five years ago (species no longer suggested by CV for this observation)",,,,,,,
Carex fracta,Carex amplectens,synonym,Cyperaceae,4.monocot,,native,,,1,1,,synonym,synonym,synonym,,,,,XX-synonym other list,"remove, duplicate synonym","remove, duplicate synonym",,,,,,,,,,,,,,,,,agree_with_has_voucher&YES_on_park_list,,v_3,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Carex fracta,Carex fracta,current,Cyperaceae,4.monocot,,native,,,1,1,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,retain voucher,35,23,1866,"Bolander, Henry Nicholas",2009,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Carex hassei,Carex hassei,current,Cyperaceae,4.monocot,,native,,,1,1,,1,1,,1,,1,,"not in iNat, but occurs in park",retain on list,retain voucher,11,7,1896,"Congdon, Joseph Whipple",1948,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,"Hetch Hetchy, Yosemite Valley, eastern boundary (Dana, Excelsior)",v_1,correct-old_vouchers_only / taxonomic_mismatch,"scattered vouchers throughout Yosemite, but none in park since Sharsmith collections",,,,,"concentrated in northern CA, but scattered occurences through the western US",,,,,,,1896,1948,9
Carex haydeniana,Carex haydeniana,current,Cyperaceae,4.monocot,,native,,,1,1,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,retain voucher,9,7,1866,"Bolander, Henry Nicholas",2010,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,v_1,correct-old&recent_vouchers,"many vouchers, old and new, in CCH2, mostly in alpine around Tioga Pass",,,,,scattered observations throughout the western US; just two observations in the Sierra,,,,,,,,,
Carex helleri,Carex helleri,current,Cyperaceae,4.monocot,,native,,3,1,1,,1,1,,1,1,1,possibly valid needs ID,"not in iNat, but occurs in park",retain on list,retain voucher,45,31,1866,"Bolander, Henry Nicholas",2012,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Carex heteroneura,Carex heteroneura,current,Cyperaceae,4.monocot,,native,2,2,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,62,32,1863,"Brewer, William Henry",2010,chloe_and_trevor,9/2/2023,chloe_and_trevor,9/4/2023,2023,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Carex hoodii,Carex hoodii,current,Cyperaceae,4.monocot,,native,,6,1,1,,1,1,,1,1,1,possibly valid needs ID,"not in iNat, but occurs in park",retain on list,retain voucher,31,19,1863,"Brewer, William Henry",2006,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Carex illota,Carex illota,current,Cyperaceae,4.monocot,,native,,1,1,1,,1,1,,1,1,1,possibly valid needs ID,"not in iNat, but occurs in park",retain on list,retain voucher,28,20,1885,"Congdon, Joseph Whipple",2009,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Carex incurviformis,Carex incurviformis,current,Cyperaceae,4.monocot,,native,,,1,1,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,retain voucher,10,10,1928,"Michael, Enid",2011,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Carex infirminervia,Carex infirminervia,current,Cyperaceae,4.monocot,,N/A,,,,,,,,,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park",XX-taxonomic mismatch voucher found in CCH download; not in park,1,,1894,"Congdon, Joseph Whipple",1894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex integra,Carex integra,current,Cyperaceae,4.monocot,,native,1,,1,1,iNat-not-gbif,1,1,1,1,1,1,,"retain, restricted license",retain on list,retain voucher,10,4,1911,"Abrams, Le Roy",2009,mattlavin,8/5/2018,mattlavin,8/5/2018,2018,2018,,,in Symbiota,restricted_license,,agree_with_has_voucher&YES_on_park_list,,v_1,correct-old&recent_vouchers,"many vouchers, old and new, in CCH2, especially around the Tuolumne area",,,,,"scattered observations throughout CA, mostly in the Sierra; one Tuolumne RG",,,,,,,,,
Carex jonesii,Carex jonesii,current,Cyperaceae,4.monocot,,native,,1,1,1,,1,1,,1,1,1,possibly valid needs ID,"not in iNat, but occurs in park",retain on list,retain voucher,18,10,1866,"Bolander, Henry Nicholas",2005,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Carex kelloggii,Carex kelloggii,current,Cyperaceae,4.monocot,Carex lenticularis var. lipocarpa,native,,1,1,1,,1,1,,1,1,1,possibly valid needs ID,"not in iNat, but occurs in park",retain on list,retain voucher,50,27,1866,"Bolander, Henry Nicholas",2008,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,CCH: many old & recent vouchers,,,,,,,,,,,,,,
Carex kelloggii,Carex lenticularis,synonym,Cyperaceae,4.monocot,Carex kelloggii,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,"remove, duplicate synonym",XX-synonym other list,,,,,,,,,,,,,,,,,agree_with_park_list&YES_vouchers_exist,throughout,pl_1,correct-old&recent_vouchers,,"Taylor, CCH: many, many vouchers from many locations",,,,,,,,,vouchers not in database-old&recent vouchers,,1866,2008,48
Carex laeviculmis,Carex laeviculmis,current,Cyperaceae,4.monocot,,native,,,1,,,,,,1,,,,"XX-not in iNat, not in park","remove, range far from park; based on wrong voucher","XX-taxonomic mismatch voucher found, not in park",1,1,1934,"Bartholomew, Paul S.",1934,,,,,,,,,,,,disagree_with_park_list&NO vouchers found,Wawona,pl_1,,,parks list indicates not actually in park; 1 1934 voucher; iNat: Pacific northwest (although Taylor indicates disjunct pop in northern Sierra),,,,,,,,,wrong range-Tahoe & north,,1934,1934,1
Carex lemmonii,Carex lemmonii,current,Cyperaceae,4.monocot,,native,,1,1,1,,1,1,,1,1,1,possibly valid needs ID,"not in iNat, but occurs in park",retain on list,retain voucher,21,14,1866,"Bolander, Henry Nicholas",2010,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Carex leporinella,Carex leporinella,current,Cyperaceae,4.monocot,,native,,,1,1,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,retain voucher,15,10,1890,"Congdon, Joseph Whipple",2012,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Carex leptopoda,Carex leptopoda,current,Cyperaceae,4.monocot,,native,,,1,,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",4,4,1863,"Brewer, William Henry",2009,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,"Yosemite Valley, Glacier Point Road",pl_1,,,"Taylor, CCH: several vouchers in park",,,,,,,,,vouchers not in database-old&recent vouchers,,1863,2009,3
Carex limosa,Carex limosa,current,Cyperaceae,4.monocot,,native,,,1,,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",7,6,1937,"Reinecke, Lawrence W.",2011,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,"Swamp Lake, Turner Meadow, Gin Flat",pl_1,,,"Taylor, CCH: many collections from Swamp Lake over time; also Turner Meadow",,,,,,,,,vouchers not in database-old&recent vouchers,,1937,2011,7
Carex livida,Carex livida,current,Cyperaceae,4.monocot,,N/A,,,,1,,,,,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, mis-identification",1,1,1940,"Dunn, David",1940,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_1,taxonomic_mismatch,"1 1940 voucher from Swamp Lake; not in Taylor; in Jepson indicates collected once in California in 1966, presumed extripated; a more northern species",,,,,all observations clustered along Canadian border - and north,https://www.gbif.org/occurrence/3406871798,,,taxonomic_mismatch-wrong something,,,1940,1940,1
Carex luzulifolia,Carex luzulifolia,current,Cyperaceae,4.monocot,,native,,1,1,1,,1,1,,1,1,1,possibly valid needs ID,"not in iNat, but occurs in park",retain on list,retain voucher,7,4,1890,"Congdon, Joseph Whipple",2005,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Carex luzulina,Carex luzulina,current,Cyperaceae,4.monocot,,native,1,1,,1,iNat-not-gbif,,1,1,1,1,1,,"retain, restricted license","not on parks list, but occurs in park",retain voucher,5,1,1895,"Congdon, Joseph Whipple",2010,mattlavin,8/4/2018,mattlavin,8/4/2018,2018,2018,,,,restricted_license,,agree_with_has_voucher&NOT_on_park_list,,v_2,correct-old&recent_vouchers,CCH: several old + 1 recent voucher,,,,,,,,,,,,,,
Carex macloviana,Carex macloviana,current,Cyperaceae,4.monocot,,N/A,,,,1,,,,,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, taxonomic mismatch",6,1,1866,"Bolander, Henry Nicholas",1898,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_2,taxonomic_mismatch-1800's_voucher,"CCH: only observations from 1890's, Congdon, Bell Museum Herbarium, University of Minnesota; Taylor: no mention",,,,,"Rockies, Siberia, Andes, nothing in CA",,,,taxonomic_mismatch-wrong something,,,1891,1898,5-Congdon
Carex mariposana,Carex mariposana,current,Cyperaceae,4.monocot,,native,,3,1,1,,1,1,,1,1,1,possibly valid needs ID,"not in iNat, but occurs in park",retain on list,retain voucher,26,14,1863,"Brewer, William Henry",2010,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Carex mendocinensis,Carex mendocinensis,current,Cyperaceae,4.monocot,,N/A,,,,,,,,,,1,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","XX-wrong ID voucher found in CCH download, not in park",1,,1993,"Taylor, Dean William",1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex microchaeta nesophila,Carex microchaeta,current,Cyperaceae,4.monocot,,N/A,,,,,,,,,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park",XX-taxonomic mismatch voucher found in CCH download; not in park,1,,1898,"Congdon, Joseph Whipple",1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex microptera,Carex microptera,current,Cyperaceae,4.monocot,,native,,1,1,1,,1,1,,1,1,1,possibly valid needs ID,"not in iNat, but occurs in park",retain on list,retain voucher,14,10,1911,"Jepson, Willis L.",2012,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Carex multicaulis,Carex multicaulis,current,Cyperaceae,4.monocot,,native,3,3,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,30,15,1863,"Brewer, William Henry",2006,susanreichle,5/22/2016,pemoore,4/4/2021,2016,2021,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Carex multicostata,Carex multicostata,current,Cyperaceae,4.monocot,,native,,1,1,1,,1,1,,1,1,1,possibly valid needs ID,"not in iNat, but occurs in park",retain on list,retain voucher,23,10,1919,"Evans, Herbert McLean",2021,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
