accepted_name,scientific_name,taxonomic_status,family,broader,synonym_matches,establishment_means,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,possibly_valid_needs_ID,iNat_outcome,iNat_outcome_detailed,parks_outcome,parks_outcome_detailed,voucher_outcome,voucher_outcome_detailed,voucher_obs,voucher_obs_to_1990,voucher_obs_coord,year_first,first_observer,year_last,first_iNat_observer,first_iNat_date,last_iNat_observer,last_iNat_date,iNat_year_first,iNat_year_last,vouches_from_gbif_only,iNat_needs_ID_only_verdict,symbiota,iNat_missing_in_gbif,use_as_example,location_notes,notes,iNat_notes,range_notes,voucher_links,species added during manual voucher searches,iNat_needs_ID_only,iNat_needsID_only_notes,taxonomic_concerns,first_record-manual,last_record-manual
Triteleia ixioides,Triteleia ixioides,current,Asparagaceae,5.monocot-colorful,,native,191,64,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,70,70,27,1863,"Brewer, William Henry",1984,epoelzl,6/6/2005,thomastaylor1,9/6/2023,2005,2023,,,in Symbiota,,,,,,,,,,,,,
Triteleia ixioides,Triteleia lugens,misapplied,Asparagaceae,5.monocot-colorful,misapplied to Triteleia ixioides,out-of-range,,,1,1,,misapplied,misapplied,misapplied,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",taxonomic or nomenclatural error,"remove, misapplied name",taxonomic or nomenclatural error,"remove, misapplied name",,,,,,,epoelzl,6/6/2005,thomastaylor1,9/6/2023,2005,2023,,,,,,montane,"CCH: Lots of vouchers clustered around Yosemite, but in iNat only in Coast Ranges; must be some disagreement about what constitutes the species; Taylor: misapplied to Tritelia ixioides",,Coast Range species,,,,,taxonomic_mismatch-wrong something,1936,1957
Triteleia laxa,Triteleia laxa,current,Asparagaceae,5.monocot-colorful,,native,1,,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,7,7,5,1895,"Perkins, Albert J.",1965,alexwalkerr,5/9/2021,alexwalkerr,5/9/2021,2021,2021,,,in Symbiota,,,,"CCH: quite a few old Yosemite Valley vouchers, but no recent ones; and iNat valid",,,,,,,,,
Triteleia montana,Triteleia montana,current,Asparagaceae,5.monocot-colorful,,native,37,7,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,16,16,3,1902,"Hall, Harvey Monroe",1985,sacha,7/4/2007,disco___very,7/30/2023,2007,2023,,,in Symbiota,,,various,,,,,,,,,1902,1985
Elodea canadensis,Elodea canadensis,current,Hydrocharitaceae,5.monocot-colorful,,native,1,1,,1,1,,1,1,,1,1,,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,1,,1,2008,"Taylor, Dean William",2008,sea-kangaroo,11/1/2023,sea-kangaroo,11/1/2023,2023,2023,,,,,,Gravel Pit Lake,CCH: single 2008 voucher from Gravel Pit Lake,,,,,,,,2008,2008
Elodea nuttallii,Elodea nuttallii,current,Hydrocharitaceae,5.monocot-colorful,,native,,,,,,,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",geographic error,"add, coordinates erroneously outside protected area or missing coordinates",1,1,,1985,"Larned, Scott",1985,,,,,,,,,,,,,,,,,"add, found during search of CCH2 by locality name",,,,,
Iris hartwegii,Iris hartwegii,current,Iridaceae,5.monocot-colorful,,native,146,27,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,31,30,15,1866,"Bolander, Henry Nicholas",1965,naz223,6/14/2010,ulysses20,7/30/2023,2010,2023,,,in Symbiota,,,,,,,,,,,,,
Iris missouriensis,Iris missouriensis,current,Iridaceae,5.monocot-colorful,,native,62,3,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,13,13,2,1888,"Congdon, Joseph Whipple",1967,observerjosh,7/31/2009,aimieolson,9/16/2023,2009,2023,,,in Symbiota,,,"Yosemite Valley, Hetch Hetchy, Tuolumne",,,,,,,,,1888,1967
Iris orientalis,Iris orientalis,current,Iridaceae,5.monocot-colorful,,out-of-range,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove,,,,,,,,https://www.inaturalist.org/observations/172208560,,"most likely wrong ID, but check",almost certainly Iris missouriâ€¦,,,
Sisyrinchium bellum,Sisyrinchium bellum,current,Iridaceae,5.monocot-colorful,,native,3,3,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,15,15,6,1896,"Congdon, Joseph Whipple",1946,howardfriedman1,7/25/2020,ljfilgas,7/20/2023,2020,2023,,,in Symbiota,,,,,,,,,,,,,
Sisyrinchium douglasii,Olsynium douglasii,current,Iridaceae,5.monocot-colorful,,N/A,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'incorrect identification'; not in protected area",1,1,,1931,"Davis, A. M.",1931,,,,,,,,,,,,,,,,,,,,,,
