accepted_name,scientific_name,taxonomic_status,family,broader,synonym_matches,establishment_means,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,possibly_valid_needs_ID,iNat_outcome,iNat_outcome_detailed,parks_outcome,parks_outcome_detailed,voucher_outcome,voucher_outcome_detailed,voucher_obs,voucher_obs_to_1990,voucher_obs_coord,year_first,first_observer,year_last,first_iNat_observer,first_iNat_date,last_iNat_observer,last_iNat_date,iNat_year_first,iNat_year_last,vouches_from_gbif_only,iNat_needs_ID_only_verdict,symbiota,iNat_missing_in_gbif,use_as_example,location_notes,notes,iNat_notes,range_notes,voucher_links,species added during manual voucher searches,iNat_needs_ID_only,iNat_needsID_only_notes,taxonomic_concerns,first_record-manual,last_record-manual
Clarkia australis,Clarkia australis,current,Onagraceae,3.dicot,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,6,4,3,1907,"Eastwood, Alice",2014,,,,,,,,,in Symbiota,,,only recent,,,,,,,,,1907,2007
Clarkia biloba,Clarkia biloba,current,Onagraceae,3.dicot,,native,1,2,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,7,5,2,1907,"King, M Alice",2006,voleman,6/18/2021,voleman,6/18/2021,2021,2021,,,in Symbiota,,,,,,,,,,,,,
Clarkia bottae,Clarkia bottae,current,Onagraceae,3.dicot,,,,2,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove,,,,,,,,,,"one definitely wrong, one seems likely a different species same genus. Check just in case",1 probably Clarkia cyclindrica; other another species,,,
Clarkia cylindrica,Clarkia cylindrica,current,Onagraceae,3.dicot,,native,2,2,,,1,,,1,,,1,,retain exact name,retain exact name (new native record),XX-not in graphics,"XX-not on parks list, but occurs in protected area",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,,,,,,,,,,,,,,,multiple RG observations in iNat; common just west of park,,,,,,,,
Clarkia dudleyana,Clarkia dudleyana,current,Onagraceae,3.dicot,,native,25,19,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,32,31,10,1866,"Bolander, Henry Nicholas",2006,tgosliner,6/13/2013,snsheth,9/24/2023,2013,2023,,,in Symbiota,,,,,,,,,,,,,
Clarkia epilobioides,Clarkia epilobioides,current,Onagraceae,3.dicot,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove,,,,,,,,,,"almost 100% certainly a misID, was a CV suggestion from last year (species no longer suggested by CV for this observation)",,,,
Clarkia gracilis,Clarkia gracilis,current,Onagraceae,3.dicot,Clarkia gracilis ssp. albicaulis,native,,,1,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",geographic error,"remove, species range far from park",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'untraced taxonomic error'; not in protected area",2,2,1,1874,"Lemmon, John G.",1874,,,,,,,,,,,,,CCH: 1 1874 voucher from Yosemite Valley; all others well to west; not mentioned in Taylor,,"wrong range-Coast Range, much lower elevation Sierra",,,,,,1874,1874
Clarkia heterandra,Clarkia heterandra,current,Onagraceae,3.dicot,,native,2,2,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,2,1,2,1900,"Bioletti, Frederick Theodore",2005,willfreyman,5/31/2021,julien9uwr,6/7/2023,2021,2023,,,in Symbiota,,,,,,,,,,,,,
Clarkia modesta,Clarkia modesta,current,Onagraceae,3.dicot,,native,,,1,,,1,,,,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain because vouchers for species are close to the park,retain because vouchers for species are close to the park,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,,,,,,,,,,in Symbiota,,,,"Taylor, CCH: vouchers well west of park",,wrong range-El Portal vouchers,,,,,,,
Clarkia purpurea,Clarkia purpurea,current,Onagraceae,3.dicot,,native,7,14,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,19,17,9,1872,"Redfield, John H.",2014,finatic,6/26/2015,betsy71,9/7/2023,2015,2023,,,in Symbiota,,,,,,,,,,,,,
Clarkia rhomboidea,Clarkia rhomboidea,current,Onagraceae,3.dicot,,native,66,45,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,37,36,19,1878,"Ford, Henry Chapman",2004,eric_hunt,6/6/2009,dinofish99,7/21/2023,2009,2023,,,in Symbiota,,,,,,,,,,,,,
Clarkia speciosa,Clarkia speciosa,current,Onagraceae,3.dicot,,N/A,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'incorrect identification'; not in protected area",1,1,,1958,"Henninger, Adolph",1958,,,,,,,,,,,,,,,,,,,,,,
Clarkia unguiculata,Clarkia unguiculata,current,Onagraceae,3.dicot,,native,1,6,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,6,6,3,1910,Hutchinson,1946,jerry171,6/8/2019,jerry171,6/8/2019,2019,2019,,,in Symbiota,,,,,,,,,,,,,
Clarkia virgata,Clarkia virgata,current,Onagraceae,3.dicot,,native,,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",geographic error,"remove, coordinates erroneously inside protected area",,,,,,,,,,,,,,,,,,,"Many vouchers from NW corner Tuolumne County, extending to west of Cherry Lake (Dean Taylor); 1 gbif voucher with coordinates within Yosemite, but voucher locality = ""Cherry Lake""; wrong coordinates, but could be in Yosemite",,"most observations from Hwy 4 (Ebbetts) north, but 1 to south; coordinates obscured",https://www.gbif.org/occurrence/2421768671,,,,,,
Clarkia williamsonii,Clarkia williamsonii,current,Onagraceae,3.dicot,,native,44,34,1,1,obscured,1,1,1,1,1,1,,databasing discrepancy,"add, observations lost due to auto-obscured coordinates",retain exact name,retain exact name,retain exact name,retain exact name,81,80,30,1866,"Bolander, Henry Nicholas",2010,tgosliner,6/12/2013,kristymorrow,9/21/2023,2013,2023,,,in Symbiota,geoprivate_by_iNat,,,,,,,,,,,,
Epilobium anagallidifolium,Epilobium anagallidifolium,current,Onagraceae,3.dicot,,native,,4,1,1,,1,1,,1,1,1,possibly valid needs ID,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,15,11,10,1885,"Congdon, Joseph Whipple",2012,,,,,,,,,in Symbiota,,,,,,,,,,,,,
Epilobium brachycarpum,Epilobium brachycarpum,current,Onagraceae,3.dicot,,native,,24,1,1,,1,1,,1,,1,possibly valid needs ID,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,7,7,6,1911,"Abrams, Le Roy",1974,,,,,,,,,in Symbiota,,,"Yosemite Valley, Wawona, Merced Canyon","CCH: small number of old vouchers; most of iNat are wrong (lots of Lessingia), but some probably correct",,,,,,,,1911,2007
Epilobium canum,Epilobium canum,current,Onagraceae,3.dicot,,native,167,9,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,38,37,12,1866,unknown,2007,packardr90,8/11/2005,bjlmt,10/27/2023,2005,2023,,,in Symbiota,,,,,,,,,,,,,
Epilobium ciliatum,Epilobium ciliatum,current,Onagraceae,3.dicot,,native,6,28,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,27,23,14,1922,"Hall, Harvey Monroe",2005,knightericm,8/6/2013,upthemountain,9/4/2023,2013,2023,,,in Symbiota,,,,,,,,,,,,,
Epilobium densiflorum,Epilobium densiflorum,current,Onagraceae,3.dicot,,native,3,4,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,20,19,11,1860,"Bolander, Henry Nicholas",2006,rangerwild,6/6/2022,snsheth,9/24/2023,2022,2023,,,in Symbiota,,,,,,,,,,,,,
Epilobium glaberrimum,Epilobium glaberrimum,current,Onagraceae,3.dicot,,native,1,2,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,29,24,22,1866,"Bolander, Henry Nicholas",2007,chloe_and_trevor,8/18/2019,chloe_and_trevor,8/18/2019,2019,2019,,,in Symbiota,,,,,,,,,,,,,
Epilobium hallianum,Epilobium hallianum,current,Onagraceae,3.dicot,Epilobium halleanum,native,,1,1,1,,1,1,,1,1,1,possibly valid needs ID,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,18,13,14,1896,"Congdon, Joseph Whipple",2009,,,,,,,,,in Symbiota,,,,,,,,,,,,,
Epilobium hallianum,Epilobium halleanum,synonym,Onagraceae,3.dicot,Epilobium hallianum,native,,,,1,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,taxonomic or nomenclatural error,"remove, double or triple listing due to synonymy",,,,,,,,,,,,,,,,,,,CCH: rsevoles to Epilobium hallianum,,,,,,,taxonomic_mismatch-synonym,,
Epilobium hornemannii,Epilobium hornemannii,current,Onagraceae,3.dicot,,native,,,1,1,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,10,10,5,1885,"Congdon, Joseph Whipple",1962,,,,,,,,,in Symbiota,,,"montane, especially south of Glacier Point",CCH: vouchers from diverse locations,,,,,,,,1885,1962
Epilobium howellii,Epilobium howellii,current,Onagraceae,3.dicot,,native,1,,1,1,obscured,1,1,1,,1,1,,databasing discrepancy,"add, observations lost due to auto-obscured coordinates",retain exact name,retain exact name,retain exact name,retain exact name,2,,1,2005,"Colwell, Alison",2006,matsonburger,8/5/2010,matsonburger,8/5/2010,2010,2010,,,in Symbiota,geoprivate_by_iNat,,,,,,,,,,,2005,2006
Epilobium lactiflorum,Epilobium lactiflorum,current,Onagraceae,3.dicot,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,9,8,4,1890,"Congdon, Joseph Whipple",1990,,,,,,,,,in Symbiota,,,,"multiple CCH2 vouchers across time,also 2 gbif that seem valid + 1 just outside park in Glacier Canyon; most recent in park from Botti in 1990",,"scattered observations around western US, including in the Sierra around Tahoe, but not further south; that said, I have photos I think are this taxon from Yosemite and south",,,,,,,
Epilobium minutum,Epilobium minutum,current,Onagraceae,3.dicot,,native,,3,1,1,,1,1,,1,1,1,possibly valid needs ID,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,7,5,6,1895,"Yates, L. G.",2003,,,,,,,,,in Symbiota,,,,,,,,,,,,,
Epilobium obcordatum,Epilobium obcordatum,current,Onagraceae,3.dicot,,native,30,1,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,26,25,15,1878,"Lemmon, John G.",2007,justin2,9/4/2013,llochner,8/5/2023,2013,2023,,,in Symbiota,,,,,,,,,,,,,
Epilobium oreganum,Epilobium oreganum,current,Onagraceae,3.dicot,,native,,,1,,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",6,6,5,1927,"Durant, Miss",1981,,,,,,,,,,,,"Yosemite Valley, Hetch Hetchy, Wawona","Taylor: not mentioned; CCH: multiple vouchers, most recent Botti 1981; can't work out why not mentioned in Taylor - he must have had a reason to exclude it",,,,"add, found during search of CCH2 for species in iNat, parks list",,,,1927,1981
Epilobium oregonense,Epilobium oregonense,current,Onagraceae,3.dicot,,native,,1,1,1,,1,1,,1,,1,possibly valid needs ID,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,3,3,1,1863,"Brewer, William Henry",1962,,,,,,,,,in Symbiota,,,montane,,,,,,,,,1863,1962
Epilobium ravenii,Epilobium ravenii,current,Onagraceae,3.dicot,,N/A,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'untraced taxonomic error'; not in protected area",1,1,,1924,"Jepson, Willis L.",1924,,,,,,,,,in Symbiota,,,,,,,,,,,,,
Epilobium ravenii,Epilobium foliosum,synonym,Onagraceae,3.dicot,Epilobium persicinum also,native,,,1,,,synonym,synonym,synonym,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",geographic error,"remove, species range far from park",XX-not in graphics,"XX-no voucher, not in protected area",,,,,,,,,,,,,,,,,,,Taylor: not in book; no CCH vouchers;,,wrong range-Europe,,,,,,,
Epilobium saximontanum,Epilobium saximontanum,current,Onagraceae,3.dicot,,native,,,1,,,1,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",1,,1,2005,"Colwell, Alison",2005,,,,,,,,,in Symbiota,,,Bond Pass,"Taylor, CCH: 1 voucher from near Bond Pass - that was collected on the trip I was on (YOSE117012 )",,,,"add, found during search of CCH2 for species in iNat, parks list",,,,2005,2005
Epilobium torreyi,Epilobium torreyi,current,Onagraceae,3.dicot,,native,,,,,,,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",4,2,3,1902,"Hall, Harvey Monroe",2006,,,,,,,,,in Symbiota,,,,,,,,"add, found during search of CCH2 by locality name",,,,,
Gayophytum decipiens,Gayophytum decipiens,current,Onagraceae,3.dicot,,native,,,1,,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",3,3,2,1935,"Schreiber, Beryl O.",1941,,,,,,,,,in Symbiota,,,upper montane,"Taylor, CCH: 3 vouchers from different locations all before 1940",,,,"add, found during search of CCH2 for species in iNat, parks list",,,,1935,1941
Gayophytum diffusum,Gayophytum diffusum,current,Onagraceae,3.dicot,,native,14,52,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,40,33,23,1863,"Brewer, William Henry",2010,lizzywenk,7/2/2014,tombomb,9/24/2023,2014,2023,,,in Symbiota,,,,,,,,,,,,,
Gayophytum eriospermum,Gayophytum eriospermum,current,Onagraceae,3.dicot,,native,,5,1,1,,1,1,,1,,1,possibly valid needs ID,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,3,3,3,1910,"Hutchinson, Miss",1959,,,,,,,,,in Symbiota,,,"montane, especially south of Glacier Point","CCH: 3 old vouchers, including Sharsmith at Turner Mdw",,,,,,,,1910,1959
Gayophytum heterozygum,Gayophytum heterozygum,current,Onagraceae,3.dicot,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,14,11,9,1907,"King, M Alice",2009,,,,,,,,,in Symbiota,,,,,,,,,,,,,
Gayophytum humile,Gayophytum humile,current,Onagraceae,3.dicot,,native,,4,1,1,,1,1,,1,1,1,possibly valid needs ID,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,10,6,7,1936,"Lee, Edward",2017,,,,,,,,,in Symbiota,,,,,,,,,,,,,
Gayophytum racemosum,Gayophytum racemosum,current,Onagraceae,3.dicot,,native,,,1,1,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,11,11,9,1923,"Munz, Philip Alexander",1961,,,,,,,,,in Symbiota,,,"Tuolumne, eastern boundary",,,,,,,,,1923,1961
Gayophytum ramosissimum,Gayophytum ramosissimum,current,Onagraceae,3.dicot,,native,,,1,1,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,7,7,4,1878,"Ford, Henry Chapman",1939,,,,,,,,,in Symbiota,,,,"a few CCH2 observations, but all pre-1940; list in Taylor as present",,"scattered observations throughout the western US, but none west of Sierra Crest; and now doubting mine too",,,,,taxonomic_mismatch,1878,1939
Ludwigia palustris,Ludwigia palustris,current,Onagraceae,3.dicot,,native,,,1,,,1,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",2,,1,2006,"Grossenbacher, Dena",2006,,,,,,,,,in Symbiota,,,Poopenaut,"Taylor, CCH: Collections from north side Poopenaut Valley",,,,"add, found during search of CCH2 for species in iNat, parks list",,,,2006,2006
Oenothera biennis,Oenothera biennis,current,Onagraceae,3.dicot,,N/A,,,,1,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",taxonomic or nomenclatural error,"remove, untraced taxonomic error",1,1,1,1913,"Kennedy, P. B.",1913,,,,,,,,,,,,,CCH: 1 voucher in UNR herbarium from 1913; not in Taylor,,,,,,,taxonomic_mismatch-wrong something,1913,1913
Oenothera elata,Oenothera elata,current,Onagraceae,3.dicot,,native,31,20,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,13,13,6,1891,"Coville, Frederick V.",1978,lincolndurey,8/19/2006,larkmcmillan,10/24/2023,2006,2023,,,in Symbiota,,,"Yosemite Valley, Tuolumne (1)",,,,,,,,,1891,1966
Oenothera lindheimeri,Oenothera lindheimeri,current,Onagraceae,3.dicot,,native,,2,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove,,,,,,,,,,both planted specimens,,,,
Oenothera stricta,Oenothera stricta,current,Onagraceae,3.dicot,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove-fixed,,,,,,,,https://www.inaturalist.org/observations/13903697,,"maybe, but seems likely a different species same genus. Check just in case",Oenothera elata,,,
Aphyllon californicum,Aphyllon californicum,current,Orobanchaceae,3.dicot,,native,1,,1,1,iNat-not-gbif,1,1,1,1,,1,,"retain, restricted license","retain, but restricted license",retain exact name,retain exact name,retain exact name,retain exact name,3,3,2,1939,"Mason, Herbert L.",1944,crystal143,8/19/2021,crystal143,8/19/2021,2021,2021,,,in Symbiota,restricted_license,,"Wawona, Miguel Meadow",CCH: old vouchers only; Taylor: has looked at vouchers,,,,,,,,1939,1944
Aphyllon corymbosum,Aphyllon corymbosum,current,Orobanchaceae,3.dicot,Orobanche corymbosa,native,2,,,1,1,,1,1,1,1,1,,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,2,1,2,1936,"Lee, Edward",2014,cathychambers,8/18/2016,browngirlbiologist,9/19/2022,2016,2022,,,,,,,,,,,,,,,,
Aphyllon epigalium,Aphyllon epigalium,current,Orobanchaceae,3.dicot,Aphyllon fasciculatum (split from),native,3,,,,1,1,,1,,,1,,retain exact name,retain exact name,taxonomic or nomenclatural error,"add, taxonomic splits since last list update",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,,,,,,,,,,,,,,,multiple RG observations in iNat; First published in Madro̱o 64: 100 (2017),,,,,,,N/A,N/A
Aphyllon fasciculatum,Aphyllon fasciculatum,current,Orobanchaceae,3.dicot,"Aphyllon epigalium (split), Aphyllon franciscanum (split); but this name still valid too",native,,,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",9,5,5,1922,"Mason, Herbert L.",2007,,,,,,,,,in Symbiota,,,various,CCH: many vouchers old and recent,,,,"add, found during search of CCH2 for species in iNat, parks list",,,synonym-split; vouchers not in database-old&recent vouchers,,
Aphyllon franciscanum,Aphyllon franciscanum,current,Orobanchaceae,3.dicot,Aphyllon fasciculatum (split from),native,24,2,,1,1,1,1,1,,1,1,,retain exact name,retain exact name,taxonomic or nomenclatural error,"add, taxonomic splits since last list update",retain exact name,retain exact name,1,,1,2023,"Colwell, Alison",2023,sea-kangaroo,5/16/2009,erica149,5/28/2023,2009,2023,,,,,,,,,,,,,,,2023,2023
Aphyllon purpureum,Aphyllon purpureum,current,Orobanchaceae,3.dicot,Orobanche uniflora (split from); Aphyllon uniflorum (split from),native,5,,,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,"retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",retain exact name,retain exact name,12,9,7,1907,"Eastwood, Alice",2010,lizzywenk,6/14/2015,allegrag14,8/19/2023,2015,2023,,,in Symbiota,,,"montane, subalpine",,,,,,,,,1907,1939
Aphyllon purpureum,Orobanche uniflora,pre-split,Orobanchaceae,3.dicot,Aphyllon purpureum (in part),native,,,1,,,synonym,synonym,synonym,1,1,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,,lizzywenk,6/14/2015,allegrag14,8/19/2023,2015,2023,,,,,,,CCH: several vouchers old and recent,,,,,,,,,
Castilleja affinis,Castilleja affinis,current,Orobanchaceae,3.dicot,,native,,,1,1,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",geographic error,"remove, species range far from park",geographic error,"remove, coordinates erroneously inside protected area",3,3,2,1895,"Congdon, Joseph Whipple",1931,,,,,,,,,,,,,"2 gbif vouchers; both just say ""Yosemite"" so could include areas downcanyon; inclusion on parks list based on erroneous voucher",,"wrong range-Coast Range and San Joaquin Valley; mostly Coast Range, but scattered quite low elevation Sierra foothills observations",https://www.gbif.org/occurrence/2859199265 ; https://www.gbif.org/occurrence/3053348507,,,,,,
Castilleja angustifolia,Castilleja angustifolia,current,Orobanchaceae,3.dicot,,N/A,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'incorrect identification'; not in protected area",1,1,,1914,"Peirson, Gertrude B.",1914,,,,,,,,,,,,,,,,,,,,,,
Castilleja applegatei,Castilleja applegatei,current,Orobanchaceae,3.dicot,Castilleja disticha (split off),native,144,156,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,108,101,56,1863,"Brewer, William Henry",2015,alexbinck,7/12/2008,dyske,10/9/2023,2008,2023,,,in Symbiota,,,,also Castilleja disticha,,,,,,,,,
Castilleja arachnoidea,Castilleja arachnoidea,current,Orobanchaceae,3.dicot,,native,,1,,,,,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",geographic error,"add, coordinates erroneously outside protected area or missing coordinates",1,1,,1960,"Hardham, Clare Butterworth",1960,,,,,,,,remove-fixed,,,,,,,,https://www.inaturalist.org/observations/189310035,"add, found during search of CCH2 by locality name","almost 100% certainly a misID, was a CV suggestion from last year (species no longer suggested by CV for this observation)",changed to applegatei,,,
Castilleja arvensis,Castilleja arvensis,current,Orobanchaceae,3.dicot,,N/A,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'incorrect identification'; not in protected area",1,1,,1940,"Pennell, Francis Whittier",1940,,,,,,,,,,,,,,,,,,,,,,
Castilleja attenuata,Castilleja attenuata,current,Orobanchaceae,3.dicot,,native,,1,1,,,1,1,1,,1,1,,databasing discrepancy,"add, iNaturalist's protected area polygon out-of-date and excluded valid observation",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",1,,1,2005,"Colwell, Alison",2005,,,,,,,,,in Symbiota,,,Wawona,"CCH: Moore, Colwell in 2004 in Wawona",,,,"add, found during search of CCH2 for species in iNat, parks list",,,,2005,2005
Castilleja chromosa,Castilleja chromosa,current,Orobanchaceae,3.dicot,,,,4,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove-fixed,,,,,,,,,,"all four from old CV suggestions, almost certainly misIDs, check just in case",changed 3 to applegatei; demoted 1 to genus,,,
Castilleja densiflora,Castilleja densiflora,current,Orobanchaceae,3.dicot,,native,6,4,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,4,3,3,1926,"Ferris, Roxana S.",2006,adamschneider,5/25/2015,trans_plant,6/27/2023,2015,2023,,,in Symbiota,,,,,,,,,,,,,
Castilleja disticha,Castilleja disticha,current,Orobanchaceae,3.dicot,Castilleja applegatei disticha (split),native,10,4,,1,1,1,1,1,1,,1,,retain exact name,retain exact name,taxonomic or nomenclatural error,"add, taxonomic splits since last list update",retain exact name,retain exact name,7,7,5,1900,"Hall, Harvey Monroe",1968,,,,,,,,,in Symbiota,,,"Wawona, montane, throughout",,,,,,,,recent split,1900,1968
Castilleja exserta,Castilleja exserta,current,Orobanchaceae,3.dicot,Orthocarpus purpurascens (old),native,4,,1,,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",1,1,1,1926,Jedell,1926,lizzywenk,6/17/2014,susanfawcett,5/26/2022,2014,2022,,,in Symbiota,,,Yosemite Valley,,4 RG observations in iNat (3 of mine; 1 other),,,"add, found during search of CCH2 for species in iNat, parks list",,,,1926,1926
Castilleja foliolosa,Castilleja foliolosa,current,Orobanchaceae,3.dicot,,native,,9,1,,,1,,,,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain because vouchers for species are close to the park,retain because vouchers for species are close to the park,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,,,,,,,,,,in Symbiota,,,,"many vouchers at low elevations, with highest elevation ones at El Portal",,wrong range-Coast Range and very low elevation Sierra; lower elevation Sierra,,,,,,,
