ID,Name_submitted,Overall_score,Name_matched_id,Name_matched,Name_score,Name_matched_rank,Author_submitted,Author_matched,Author_score,Canonical_author,Name_matched_accepted_family,Genus_submitted,Genus_matched,Genus_score,Specific_epithet_submitted,Specific_epithet_matched,Specific_epithet_score,Family_submitted,Family_matched,Family_score,Infraspecific_rank,Infraspecific_epithet_matched,Infraspecific_epithet_score,Infraspecific_rank_2,Infraspecific_epithet_2_matched,Infraspecific_epithet_2_score,Annotations,Unmatched_terms,Name_matched_url,Name_matched_lsid,Phonetic,Taxonomic_status,Accepted_name,Accepted_species,Accepted_name_author,Accepted_name_id,Accepted_name_rank,Accepted_name_url,Accepted_name_lsid,Accepted_family,Overall_score_order,Highertaxa_score_order,Source,Warnings,
35,Lomatium macrocarpum,1,1053462,Lomatium macrocarpum,1,species,,,NA,J.M.Coult. & Rose,Apiaceae,Lomatium,Lomatium,1,macrocarpum,macrocarpum,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001067680,,Y,No opinion,,,,,,,,,1,1,wfo,0,
36,Lomatium nevadense var. parishii,1,1053665,Lomatium nevadense var. parishii,1,variety,,,NA,(J.M.Coult. & Rose) Jeps.,Apiaceae,Lomatium,Lomatium,1,nevadense,nevadense,1,,,NA,var.,parishii,1,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001067886,,Y,Accepted,Lomatium nevadense var. parishii,Lomatium nevadense,(J.M.Coult. & Rose) Jeps.,1053665,variety,http://www.worldfloraonline.org/taxon/wfo-0001067886,,Apiaceae,1,1,wfo,0,
37,Lomatium torreyi,1,1053686,Lomatium torreyi,1,species,,,NA,(J.M.Coult. & Rose) J.M.Coult. & Rose,Apiaceae,Lomatium,Lomatium,1,torreyi,torreyi,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001067907,,Y,Accepted,Lomatium torreyi,Lomatium torreyi,(J.M.Coult. & Rose) J.M.Coult. & Rose,1053686,species,http://www.worldfloraonline.org/taxon/wfo-0001067907,,Apiaceae,1,1,wfo,0,
38,Lomatium utriculatum,1,1053693,Lomatium utriculatum,1,species,,,NA,(Nutt. ex Torr. & A.Gray) J.M.Coult. & Rose,Apiaceae,Lomatium,Lomatium,1,utriculatum,utriculatum,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001067914,,Y,Accepted,Lomatium utriculatum,Lomatium utriculatum,(Nutt. ex Torr. & A.Gray) J.M.Coult. & Rose,1053693,species,http://www.worldfloraonline.org/taxon/wfo-0001067914,,Apiaceae,1,1,wfo,0,
39,Osmorhiza brachypoda,1,1053711,Osmorhiza brachypoda,1,species,,,NA,Torr. ex Durand,Apiaceae,Osmorhiza,Osmorhiza,1,brachypoda,brachypoda,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001067932,,Y,Accepted,Osmorhiza brachypoda,Osmorhiza brachypoda,Torr. ex Durand,1053711,species,http://www.worldfloraonline.org/taxon/wfo-0001067932,,Apiaceae,1,1,wfo,0,
40,Osmorhiza chilensis,1,1053712,Osmorhiza chilensis,1,species,,,NA,Hook. & Arn.,Apiaceae,Osmorhiza,Osmorhiza,1,chilensis,chilensis,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001067933,,Y,Accepted,Osmorhiza chilensis,Osmorhiza chilensis,Hook. & Arn.,1053712,species,http://www.worldfloraonline.org/taxon/wfo-0001067933,,Apiaceae,1,1,wfo,0,
41,Osmorhiza occidentalis,1,1053713,Osmorhiza occidentalis,1,species,,,NA,Torr.,Apiaceae,Osmorhiza,Osmorhiza,1,occidentalis,occidentalis,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001067934,,Y,Accepted,Osmorhiza occidentalis,Osmorhiza occidentalis,Torr.,1053713,species,http://www.worldfloraonline.org/taxon/wfo-0001067934,,Apiaceae,1,1,wfo,0,
42,Oxypolis occidentalis,1,1053717,Oxypolis occidentalis,1,species,,,NA,J.M.Coult. & Rose,Apiaceae,Oxypolis,Oxypolis,1,occidentalis,occidentalis,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001067938,,Y,Accepted,Oxypolis occidentalis,Oxypolis occidentalis,J.M.Coult. & Rose,1053717,species,http://www.worldfloraonline.org/taxon/wfo-0001067938,,Apiaceae,1,1,wfo,0,
43,Perideridia bolanderi,1,1053721,Perideridia bolanderi,1,species,,,NA,A.Nelson & J.F.Macbr.,Apiaceae,Perideridia,Perideridia,1,bolanderi,bolanderi,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001067942,,Y,Accepted,Perideridia bolanderi,Perideridia bolanderi,A.Nelson & J.F.Macbr.,1053721,species,http://www.worldfloraonline.org/taxon/wfo-0001067942,,Apiaceae,1,1,wfo,0,
44,Perideridia bolanderi ssp. bolanderi,1,1054762,Perideridia bolanderi subsp. bolanderi,1,subspecies,,,NA,,Apiaceae,Perideridia,Perideridia,1,bolanderi,bolanderi,1,,,NA,subsp.,bolanderi,1,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001069017,,Y,Synonym,Perideridia bolanderi,Perideridia bolanderi,A.Nelson & J.F.Macbr.,1053721,species,http://www.worldfloraonline.org/taxon/wfo-0001067942,,Apiaceae,1,1,wfo,0,
