accepted_name,family,broader,establishment_means,taxonID,park_list,voucher_exists,iNat_RG_record_exists
Perideridia parishii,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/78439,1,1,1
Podistera nevadensis,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/78659,1,1,1
Sanicula bipinnata,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/57626,,,1
Sanicula bipinnatifida,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/56840,1,1,
Sanicula graveolens,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/78979,1,1,
Sanicula tuberosa,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/56842,1,1,1
Tauschia hartwegii,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/54948,1,,
Torilis arvensis,Apiaceae,3.dicot,introduced,https://www.inaturalist.org/taxa/56846,,1,1
Torilis nodosa,Apiaceae,3.dicot,introduced,https://www.inaturalist.org/taxa/53304,1,1,
Yabea microcarpa,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/56847,1,1,
Apocynum androsaemifolium,Apocynaceae,3.dicot,native,https://www.inaturalist.org/taxa/47359,1,1,1
Apocynum cannabinum,Apocynaceae,3.dicot,native,https://www.inaturalist.org/taxa/58795,1,1,1
Asclepias cordifolia,Apocynaceae,3.dicot,native,https://www.inaturalist.org/taxa/62248,1,1,1
Asclepias fascicularis,Apocynaceae,3.dicot,native,https://www.inaturalist.org/taxa/56851,1,1,1
Asclepias speciosa,Apocynaceae,3.dicot,native,https://www.inaturalist.org/taxa/62292,1,1,1
Vinca major,Apocynaceae,3.dicot,introduced,https://www.inaturalist.org/taxa/53326,1,1,1
Hedera helix,Araliaceae,3.dicot,introduced,https://www.inaturalist.org/taxa/55882,,1,
Asarum hartwegii,Aristolochiaceae,3.dicot,native,https://www.inaturalist.org/taxa/59937,1,1,1
Asarum lemmonii,Aristolochiaceae,3.dicot,native,https://www.inaturalist.org/taxa/62263,1,1,1
Achillea millefolium,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/52821,1,1,1
Adenocaulon bicolor,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/56854,1,1,1
Ageratina occidentalis,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75300,1,1,1
Agnorhiza elata,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/893765,1,1,
Agoseris aurantiaca,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75302,1,1,1
Agoseris elata,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/158119,1,1,
Agoseris glauca,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75303,1,1,
Agoseris grandiflora,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/52828,1,1,
Agoseris heterophylla,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/56856,1,1,1
Agoseris monticola,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75304,1,1,
Agoseris parviflora,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75305,1,1,
Agoseris retrorsa,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/57908,1,1,1
Anaphalis margaritacea,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/52833,1,1,1
Antennaria argentea,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75458,1,1,1
Antennaria corymbosa,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75459,1,1,1
Antennaria media,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75466,1,1,1
Antennaria rosea,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/53096,1,1,1
Antennaria umbrinella,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75471,1,1,1
