accepted_name,scientific_name,taxonomic_status,family,broader,synonymy_notes,establishment_means,taxonID,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,iNat_needsID_only,iNat_outcome,iNat_outcome_detailed,parks_outcome,parks_outcome_detailed,voucher_outcome,voucher_outcome_detailed,voucher_obs,voucher_obs_to_1990,voucher_obs_coord,year_first_voucher,year_last_voucher,date_first_iNat_obs,date_last_iNat_obs,first_voucher_collector,first_iNat_observer,last_iNat_observer,year_first_iNat,year_last_iNat,vouchers_from_gbif_only,iNat_needs_ID_only_verdict,Symbiota,iNat_missing_in_gbif,use_as_example,voucher_parklist_notes,iNat_notes,range_notes,voucher_links,species added during manual voucher searches,iNat_needsID_only_notes,iNat_needsID_only_notes2,taxonomic_concerns,synonyms_from_CCH
Gilia achilleifolia,Gilia achilleifolia,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/51098,,,,1,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",identification error,"remove, incorrect identification",1,1,1,,,,,"Epling, Carl",,,,,,,,,,1 CCH2 voucher from 1935 - from Wawona; original ID by collectors; wrong elevation in database,,coast range species with 3 observations in the very low elevation Sierra,,,,,taxonomic_mismatch-wrong something,Gilia achilleaefolia
Gilia capitata,Gilia capitata,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/57793,25,47,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,29,27,20,1894,2014,6/6/2013,6/22/2023,"Burnham, Stewart H.",jonathanwitkop,julien9uwr,2013,2023,,,in Symbiota,,,,,,,,,,,Gilia capitata ssp. abrotanifolia; Gilia capitata ssp. mediomontana; Gilia capitata ssp. pedemontana; Gilia capitata subsp. mediomontana; Gilia capitata subsp. pedemontana
Gilia scopulorum,Gilia scopulorum,accepted,Polemoniaceae,3.dicot,,out-of-range,https://www.inaturalist.org/taxa/59663,,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",geographic error,"remove, coordinates erroneously inside protected area",,,,,,,,,,,,,gbif_vouchers_only,,,,,"no vouchers in CCH2; 1 voucher in gbif, but coordinates refer to location in Riverside County",,"throughout southeastern California; 2 observations in eastern Sierra, but both needsID and neither looks likely to be correct",https://www.gbif.org/occurrence/1927967852,,,,,
Gilia tricolor,Gilia tricolor,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/50832,,,1,,,1,,,,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain because vouchers for species are close to the park,retain because vouchers for species are close to the park,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,,,,,,,,,,in Symbiota,,,occurs in Sierra foothills to just outside the park; Dean Taylor also suggests it might be in the park,,wrong range-El Portal vouchers,,,,,,Gilia tricolor ssp. tricolor; Gilia tricolor subsp. tricolor
Ipomopsis aggregata,Ipomopsis aggregata,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/52136,59,25,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,42,41,17,1866,2004,7/16/2009,7/26/2023,"Bolander, Henry Nicholas",jmaughn,dgrimmphd,2009,2023,,,in Symbiota,,,,,,,,,,,Gilia aggregata; Ipomopsis aggregata ssp. bridgesii; Ipomopsis aggregata ssp. formosissima; Ipomopsis aggregata subsp. aggregata; Ipomopsis aggregata subsp. attenuata; Ipomopsis aggregata subsp. bridgesii; Ipomopsis aggregata subsp. formosissima
Ipomopsis tenuituba,Ipomopsis tenuituba,accepted,Polemoniaceae,3.dicot,,,https://www.inaturalist.org/taxa/52190,,4,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove,,,,,,"Rockies, Great Basin, eastern Sierra",,,"maybe legit, maybe different species same genus",observations in the middle of dense cluster of partially RG Ipomopsis aggregata,,
Leptosiphon androsaceus,Leptosiphon androsaceus,accepted,Polemoniaceae,3.dicot,,N/A,https://www.inaturalist.org/taxa/58969,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'incorrect identification'; not in protected area",1,1,,,,,,"Carter, Annetta M.",,,,,,,,,,,,,,,,,,Linanthus androsacens
Leptosiphon bicolor,Leptosiphon bicolor,accepted,Polemoniaceae,3.dicot,Linanthus bicolor,native,https://www.inaturalist.org/taxa/64245,1,,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,5,5,4,1926,1948,4/23/2022,4/23/2022,"Bacigalupi, Rimo C.",geoffabbott,geoffabbott,2022,2022,,,in Symbiota,,,iNat correct,,,,,,,,Linanthus bicolor
Leptosiphon ciliatus,Leptosiphon ciliatus,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/77684,101,30,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,56,53,34,1872,2011,6/2/2007,8/11/2023,"Gray, Asa",wildlander,thomastaylor1,2007,2023,,,in Symbiota,,,,,,,,,,,Gilia ciliata; Linanthus ciliatus; Linanthus ciliatus var. neglectus
Leptosiphon filipes,Leptosiphon filipes,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/77686,,,1,,,1,1,1,1,1,1,,databasing discrepancy,"add, iNaturalist's protected area polygon out-of-date and excluded valid observation",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",3,2,1,1911,2006,,,"Hall, Harvey Monroe",,,2019,2023,,,in Symbiota,,,iNat: many RG just west of park near Ackerson Mdw; Taylor: no vouchers in park,1 RG observation in iNat - Ackerson Meadow; First published Aliso 19: 80 (2000); vouchers just west of park (Harden Flat),,,"add, found during search of CCH2 by locality name",,,,Linanthus filipes
