accepted_name,establishment_means,final_list,iNat_RG_END,voucher_END,old_voucher,recent_voucher,first_iNat,last_iNat,synonym,first_voucher,last_voucher,first_iNat_manual,last_iNat_manual,first_voucher_manual,last_voucher_manual,notes,count
Nemacladus capillaris,native,1,NA,1,1,NA,NA,NA,NA,1938,1943,NA,NA,NA,NA,NA,NA
Nemacladus interior,native,1,1,1,1,1,2017,2022,Nemacladus interior,1866,1999,NA,NA,NA,NA,NA,NA
Smithiastrum prenanthoides,native,1,1,1,1,1,2011,2023,Smithiastrum prenanthoides,1878,1999,NA,NA,NA,NA,NA,NA
Triodanis biflora,native,1,NA,1,1,NA,NA,NA,NA,1902,1902,NA,NA,NA,NA,NA,NA
Humulus lupulus,introduced,1,1,1,NA,1,2016,2023,Humulus lupulus,2009,2009,NA,NA,NA,NA,NA,NA
Lonicera caerulea,native,1,1,1,1,1,2014,2022,Lonicera caerulea,1866,1997,NA,NA,NA,NA,NA,NA
Lonicera conjugialis,native,1,1,1,1,1,2014,2023,Lonicera conjugialis,1866,2007,NA,NA,NA,NA,NA,NA
Lonicera interrupta,native,1,1,1,1,NA,2014,2023,Lonicera interrupta,1901,1959,NA,NA,NA,NA,NA,NA
Lonicera involucrata,native,1,1,1,1,NA,2013,2023,Lonicera involucrata,1866,1963,NA,NA,NA,NA,NA,NA
Plectritis ciliosa,native,1,NA,1,1,NA,NA,NA,NA,1924,1924,NA,NA,NA,NA,NA,NA
Plectritis congesta,native,1,NA,1,NA,1,NA,NA,NA,2002,2002,NA,NA,NA,NA,NA,NA
Symphoricarpos albus,native,1,1,NA,NA,NA,2019,2023,Symphoricarpos albus,NA,NA,NA,NA,NA,NA,NA,NA
Symphoricarpos mollis,native,1,1,1,1,1,2012,2023,Symphoricarpos mollis,1885,2007,NA,NA,NA,NA,NA,NA
Symphoricarpos rotundifolius,native,1,1,1,1,1,2019,2019,Symphoricarpos rotundifolius,1889,2007,NA,NA,NA,NA,NA,NA
Valeriana californica,native,1,1,1,1,1,2014,2022,Valeriana californica,1863,2009,NA,NA,NA,NA,NA,NA
Cerastium arvense,native,1,1,1,1,1,2013,2018,Cerastium arvense,1909,2010,NA,NA,NA,NA,NA,NA
Cerastium beeringianum,native,1,NA,1,1,1,NA,NA,NA,1937,2012,NA,NA,NA,NA,NA,NA
Cerastium fontanum,introduced,1,NA,1,1,1,NA,NA,NA,1895,2010,NA,NA,NA,NA,NA,NA
Cerastium glomeratum,introduced,1,NA,1,1,1,NA,NA,NA,1924,2010,NA,NA,NA,NA,NA,NA
Cherleria obtusiloba,native,1,1,1,1,1,2010,2010,Cherleria obtusiloba,1909,2011,NA,NA,NA,NA,NA,NA
Dianthus armeria,introduced,1,1,1,NA,1,2019,2023,Dianthus armeria,1995,2010,NA,NA,NA,NA,NA,NA
Dianthus barbatus,introduced,1,NA,1,NA,1,NA,NA,NA,1998,2010,NA,NA,NA,NA,NA,NA
Eremogone aculeata,native,1,NA,1,1,1,NA,NA,NA,1890,2009,NA,NA,NA,NA,NA,NA
Eremogone congesta,native,1,NA,1,1,NA,NA,NA,NA,1887,1896,NA,NA,NA,NA,NA,NA
Eremogone kingii,native,1,1,1,1,1,2014,2023,Eremogone kingii,1889,2011,NA,NA,NA,NA,NA,NA
Hartmaniella sierrae,native,1,NA,1,1,1,NA,NA,NA,1951,2005,NA,NA,NA,NA,NA,NA
Herniaria hirsuta,introduced,1,1,1,1,1,2023,2023,Herniaria hirsuta,1897,2010,NA,NA,NA,NA,NA,NA
Petrorhagia dubia,introduced,1,NA,1,NA,1,NA,NA,NA,2002,2002,NA,NA,NA,NA,NA,NA
Polycarpon tetraphyllum,introduced,1,NA,1,NA,1,NA,NA,NA,1997,1997,NA,NA,NA,NA,NA,NA
Pseudostellaria jamesiana,native,1,1,1,1,1,2014,2023,Pseudostellaria jamesiana,1866,2004,NA,NA,NA,NA,NA,NA
Sabulina californica,native,1,NA,1,1,NA,NA,NA,NA,1924,1944,NA,NA,NA,NA,NA,NA
Sabulina douglasii,native,1,1,1,1,1,2021,2021,Sabulina douglasii,1894,2003,NA,NA,NA,NA,NA,NA
Sabulina nuttallii,native,1,1,1,1,1,2014,2014,Sabulina nuttallii,1866,2012,NA,NA,NA,NA,NA,NA
Sabulina pusilla,native,1,NA,1,1,1,NA,NA,NA,1936,2010,NA,NA,NA,NA,NA,NA
Sabulina rubella,native,1,NA,1,1,1,NA,NA,NA,1907,2017,NA,NA,NA,NA,NA,NA
Sagina decumbens,native,1,NA,1,1,NA,NA,NA,NA,1944,1944,NA,NA,NA,NA,NA,NA
Sagina procumbens,introduced,1,NA,1,NA,1,NA,NA,NA,2010,2010,NA,NA,NA,NA,NA,NA
Sagina saginoides,native,1,1,1,1,1,2020,2020,Sagina saginoides,1889,2007,NA,NA,NA,NA,NA,NA
Saponaria officinalis,introduced,1,1,1,NA,1,2019,2023,Saponaria officinalis,2008,2021,NA,NA,NA,NA,NA,NA
Scleranthus annuus,introduced,1,NA,1,NA,1,NA,NA,NA,2002,2002,NA,NA,NA,NA,NA,NA
Silene antirrhina,native,1,NA,1,1,1,NA,NA,NA,1944,2009,NA,NA,NA,NA,NA,NA
Silene bernardina,native,1,1,1,1,1,2017,2023,Silene bernardina,1907,1999,NA,NA,NA,NA,NA,NA
Silene bridgesii,native,1,NA,1,1,NA,NA,NA,NA,1865,1958,NA,NA,NA,NA,NA,NA
Silene coronaria,introduced,1,1,1,1,1,2017,2023,Silene coronaria,1959,2008,NA,NA,NA,NA,NA,NA
Silene gallica,introduced,1,1,1,1,1,2022,2022,Silene gallica,1964,2002,NA,NA,NA,NA,NA,NA
Silene laciniata,native,1,1,1,1,NA,2004,2023,Silene laciniata,1923,1938,NA,NA,NA,NA,NA,NA
Silene latifolia,introduced,1,1,1,1,1,2021,2021,Silene latifolia,1923,1998,NA,NA,NA,NA,NA,NA
Silene lemmonii,native,1,1,1,1,1,2009,2023,Silene lemmonii,1883,1883,NA,NA,NA,NA,NA,NA
Silene menziesii,native,1,NA,1,1,1,NA,NA,NA,1889,2006,NA,NA,NA,NA,NA,NA
Silene sargentii,native,1,1,1,1,NA,2015,2023,Silene sargentii,1889,1983,NA,NA,NA,NA,NA,NA
Spergula arvensis,introduced,1,NA,1,1,NA,NA,NA,NA,1939,1939,NA,NA,NA,NA,NA,NA
Spergularia rubra,introduced,1,1,1,1,1,2007,2019,Spergularia rubra,1924,2010,NA,NA,NA,NA,NA,NA
Stellaria borealis,native,1,NA,1,1,1,NA,NA,NA,1885,2007,NA,NA,NA,NA,NA,NA
Stellaria calycantha,native,1,NA,1,1,1,NA,NA,NA,1936,2017,NA,NA,NA,NA,NA,NA
Stellaria crispa,native,1,NA,1,1,1,NA,NA,NA,1927,2007,NA,NA,NA,NA,NA,NA
Stellaria irrigua,native,1,NA,1,1,1,NA,NA,NA,1890,2011,NA,NA,NA,NA,NA,NA
Stellaria longipes,native,1,1,1,1,1,2014,2022,Stellaria longipes,1896,2012,NA,NA,NA,NA,NA,NA
Stellaria media,introduced,1,1,1,1,1,2016,2016,Stellaria media,1924,1998,NA,NA,NA,NA,NA,NA
Stellaria nitens,native,1,NA,1,1,NA,NA,NA,NA,1911,1972,NA,NA,NA,NA,NA,NA
Stellaria obtusa,native,1,NA,1,1,NA,NA,NA,NA,1938,1938,NA,NA,NA,NA,NA,NA
Parnassia palustris,native,1,1,1,1,1,2007,2023,Parnassia palustris,1894,2007,NA,NA,NA,NA,NA,NA
Calystegia malacophylla,native,1,1,1,1,1,2014,2023,Calystegia malacophylla,1883,2004,NA,NA,NA,NA,NA,NA
Convolvulus arvensis,introduced,1,NA,1,1,1,NA,NA,NA,1926,2017,NA,NA,NA,NA,NA,NA
Cuscuta californica,native,1,NA,1,1,1,NA,NA,NA,1891,2009,NA,NA,NA,NA,NA,NA
Cuscuta jepsonii,native,1,NA,1,NA,1,NA,NA,NA,2009,2009,NA,NA,NA,NA,NA,NA
Cuscuta occidentalis,native,1,NA,1,1,NA,NA,NA,NA,1948,1948,NA,NA,NA,NA,NA,NA
Cuscuta subinclusa,native,1,NA,1,1,1,NA,NA,NA,1909,2007,NA,NA,NA,NA,NA,NA
Cuscuta suksdorfii,native,1,NA,1,NA,1,NA,NA,NA,2004,2009,NA,NA,NA,NA,NA,NA
Cornus nuttallii,native,1,1,1,1,NA,2001,2024,Cornus nuttallii,1878,1980,NA,NA,NA,NA,NA,NA
Cornus sericea,native,1,1,1,1,1,2007,2023,Cornus sericea,1865,2009,NA,NA,NA,NA,NA,NA
Crassula aquatica,native,1,NA,1,NA,1,NA,NA,NA,2008,2008,NA,NA,NA,NA,NA,NA
Dudleya cymosa,native,1,1,1,1,1,2007,2024,Dudleya cymosa,1872,2006,NA,NA,NA,NA,NA,NA
Rhodiola integrifolia,native,1,1,1,1,1,2014,2023,Rhodiola integrifolia,1875,2010,NA,NA,NA,NA,NA,NA
Sedella pumila,native,1,1,1,1,NA,2009,2021,Sedella pumila,1941,1960,NA,NA,NA,NA,NA,NA
Sedum album,introduced,1,NA,1,NA,1,NA,NA,NA,1997,1997,NA,NA,NA,NA,NA,NA
Sedum lanceolatum,native,1,1,1,1,1,2019,2023,Sedum lanceolatum,1895,2007,NA,NA,NA,NA,NA,NA
Sedum obtusatum,native,1,1,1,1,1,2006,2023,Sedum obtusatum,1860,2013,NA,NA,NA,NA,NA,NA
Sedum radiatum,native,1,NA,1,1,NA,NA,NA,NA,1883,1954,NA,NA,NA,NA,NA,NA
Sedum spathulifolium,native,1,1,1,1,NA,2008,2023,Sedum spathulifolium,1865,1963,NA,NA,NA,NA,NA,NA
Sedum stenopetalum,native,1,NA,1,1,NA,NA,NA,NA,1938,1940,NA,NA,NA,NA,NA,NA
Marah fabacea,native,1,NA,1,1,NA,NA,NA,NA,1941,1941,NA,NA,NA,NA,NA,NA
Marah horrida,native,1,1,NA,NA,NA,2015,2022,Marah horrida,NA,NA,NA,NA,NA,NA,NA,NA
Datisca glomerata,native,1,1,1,1,NA,2021,2021,Datisca glomerata,1934,1944,NA,NA,NA,NA,NA,NA
Drosera rotundifolia,native,1,1,1,1,1,2012,2020,Drosera rotundifolia,1937,2009,NA,NA,NA,NA,NA,NA
Elatine chilensis,native,1,NA,1,NA,1,NA,NA,NA,2008,2010,NA,NA,NA,NA,NA,NA
Elatine rubella,native,1,NA,1,NA,1,NA,NA,NA,2008,2008,NA,NA,NA,NA,NA,NA
Allotropa virgata,native,1,1,1,1,1,2006,2023,Allotropa virgata,1919,2009,NA,NA,NA,NA,NA,NA
Arctostaphylos manzanita,native,1,NA,1,1,1,NA,NA,NA,1903,1994,NA,NA,NA,NA,NA,NA
Arctostaphylos mewukka,native,1,NA,1,1,1,NA,NA,NA,1907,1993,NA,NA,NA,NA,NA,NA
Arctostaphylos nevadensis,native,1,1,1,1,1,2010,2023,Arctostaphylos nevadensis,1885,2007,NA,NA,NA,NA,NA,NA
Arctostaphylos patula,native,1,1,1,1,1,2005,2023,Arctostaphylos patula,1883,2007,NA,NA,NA,NA,NA,NA
Arctostaphylos viscida,native,1,1,1,1,1,2008,2024,Arctostaphylos viscida,1896,1896,NA,NA,NA,NA,NA,NA
Cassiope mertensiana,native,1,1,1,1,1,2004,2023,Cassiope mertensiana,1878,1993,NA,NA,NA,NA,NA,NA
Chimaphila umbellata,native,1,1,1,1,NA,2012,2023,Chimaphila umbellata,1928,1982,NA,NA,NA,NA,NA,NA
Gaultheria humifusa,native,1,1,1,1,1,2014,2014,Gaultheria humifusa,1921,2007,NA,NA,NA,NA,NA,NA
Hemitomes congestum,native,1,1,NA,NA,NA,2016,2016,Hemitomes congestum,NA,NA,NA,NA,NA,NA,NA,NA
Kalmia microphylla,native,1,1,1,1,1,2013,2023,Kalmia microphylla,1876,2008,NA,NA,NA,NA,NA,NA
Kalmia microphylla,native,1,1,1,1,1,2013,2023,Kalmia polifolia,1876,2008,NA,NA,NA,NA,NA,NA
Leucothoe davisiae,native,1,1,1,1,1,2008,2023,Leucothoe davisiae,1885,2010,NA,NA,NA,NA,NA,NA
Orthilia secunda,native,1,1,1,1,1,2014,2023,Orthilia secunda,1889,2007,NA,NA,NA,NA,NA,NA
Phyllodoce breweri,native,1,1,1,1,1,1989,2023,Phyllodoce breweri,1863,2008,NA,NA,NA,NA,NA,NA
Pleuricospora fimbriolata,native,1,1,1,1,1,2011,2023,Pleuricospora fimbriolata,1866,2004,NA,NA,NA,NA,NA,NA
Pterospora andromedea,native,1,1,1,1,NA,2006,2023,Pterospora andromedea,1866,1969,NA,NA,NA,NA,NA,NA
Pyrola aphylla,native,1,1,1,1,NA,2012,2023,Pyrola aphylla,1878,1982,NA,NA,NA,NA,NA,NA
Pyrola asarifolia,native,1,NA,1,1,1,NA,NA,NA,1896,2008,NA,NA,NA,NA,NA,NA
Pyrola dentata,native,1,1,1,1,NA,2021,2022,Pyrola dentata,1924,1929,NA,NA,NA,NA,NA,NA
Pyrola minor,native,1,1,1,1,1,2014,2021,Pyrola minor,1898,1990,NA,NA,NA,NA,NA,NA
Pyrola picta,native,1,1,1,1,NA,2009,2023,Pyrola picta,1866,1866,NA,NA,NA,NA,NA,NA
Rhododendron columbianum,native,1,1,1,1,1,2008,2023,Rhododendron columbianum,1889,2007,NA,NA,NA,NA,NA,NA
Rhododendron occidentale,native,1,1,1,1,NA,1992,2023,Rhododendron occidentale,1866,1970,NA,NA,NA,NA,NA,NA
Sarcodes sanguinea,native,1,1,1,1,NA,1993,2023,Sarcodes sanguinea,1883,1969,NA,NA,NA,NA,NA,NA
Vaccinium cespitosum,native,1,1,1,1,1,2009,2023,Vaccinium cespitosum,1887,2005,NA,NA,NA,NA,NA,NA
Vaccinium parvifolium,native,1,NA,1,NA,1,NA,NA,NA,2009,2009,NA,NA,NA,NA,NA,NA
Vaccinium shastense,native,1,NA,1,1,1,NA,NA,NA,1924,2009,NA,NA,NA,NA,NA,NA
Vaccinium uliginosum,native,1,1,1,1,1,2014,2023,Vaccinium uliginosum,1907,2003,NA,NA,NA,NA,NA,NA
Croton setiger,native,1,1,1,1,1,2018,2023,Croton setiger,1909,2005,NA,NA,NA,NA,NA,NA
Euphorbia crenulata,native,1,1,1,1,1,2019,2019,Euphorbia crenulata,1911,1911,NA,NA,NA,NA,NA,NA
Euphorbia serpillifolia,native,1,1,1,1,1,2017,2023,NA,1872,2009,2017,2023,NA,NA,"add, observations lost due to inaccurate protected area polygon",3
Acmispon americanus,native,1,1,1,1,1,2014,2023,Acmispon americanus,1891,2005,NA,NA,NA,NA,NA,NA
Acmispon argophyllus,native,1,NA,1,1,NA,NA,NA,NA,1889,1944,NA,NA,NA,NA,NA,NA
Acmispon brachycarpus,native,1,1,NA,NA,NA,2021,2021,Acmispon brachycarpus,NA,NA,NA,NA,NA,NA,NA,NA
Acmispon decumbens,native,1,1,1,1,NA,2014,2023,Acmispon decumbens,1872,1979,NA,NA,NA,NA,NA,NA
Acmispon glaber,native,1,NA,1,1,NA,NA,NA,NA,1944,1944,NA,NA,NA,NA,NA,NA
Acmispon micranthus,native,1,NA,1,1,NA,NA,NA,NA,1911,1944,NA,NA,NA,NA,NA,NA
Acmispon parviflorus,native,1,NA,1,1,1,NA,NA,NA,1911,2006,NA,NA,NA,NA,NA,NA
Acmispon strigosus,native,1,1,1,1,NA,2016,2022,Ottleya strigosa,1886,1957,NA,NA,NA,NA,NA,NA
Astragalus bolanderi,native,1,1,1,1,1,2016,2022,Astragalus bolanderi,1866,2005,NA,NA,NA,NA,NA,NA
Astragalus kentrophyta,native,1,1,1,1,1,2021,2021,Astragalus kentrophyta,1889,2010,NA,NA,NA,NA,NA,NA
Astragalus lentiginosus,native,1,NA,1,1,1,NA,NA,NA,1933,2005,NA,NA,NA,NA,NA,NA
Astragalus purshii,native,1,1,1,NA,1,2018,2018,Astragalus purshii,2005,2005,NA,NA,NA,NA,NA,NA
Astragalus whitneyi,native,1,NA,1,1,1,NA,NA,NA,1948,2010,NA,NA,NA,NA,NA,NA
Cercis occidentalis,native,1,1,1,1,NA,2014,2023,Cercis occidentalis,1895,1967,NA,NA,NA,NA,NA,NA
Cytisus scoparius,introduced,1,1,1,NA,1,2013,2019,Cytisus scoparius,2010,2010,NA,NA,NA,NA,NA,NA
Genista linifolia,introduced,1,NA,1,NA,1,NA,NA,NA,2010,2010,NA,NA,NA,NA,NA,NA
Hosackia crassifolia,native,1,1,1,1,NA,2013,2023,Hosackia crassifolia,1885,1967,NA,NA,NA,NA,NA,NA
Hosackia oblongifolia,native,1,1,1,1,1,2007,2023,Hosackia oblongifolia,1866,2004,NA,NA,NA,NA,NA,NA
Lathyrus jepsonii,native,1,1,1,1,NA,2022,2022,Lathyrus jepsonii,1923,1929,NA,NA,NA,NA,NA,NA
Lathyrus lanszwertii,native,1,NA,1,1,NA,NA,NA,NA,1897,1897,NA,NA,NA,NA,NA,NA
Lathyrus latifolius,native,1,1,1,NA,1,2015,2023,Lathyrus latifolius,1998,1998,NA,NA,NA,NA,NA,NA
Lathyrus nevadensis,native,1,1,1,1,NA,2013,2022,Lathyrus nevadensis,1911,1972,NA,NA,NA,NA,NA,NA
Lathyrus sulphureus,native,1,1,1,1,1,2014,2023,Lathyrus sulphureus,1863,1999,NA,NA,NA,NA,NA,NA
Lotus corniculatus,introduced,1,1,NA,NA,NA,2021,2021,Lotus corniculatus,NA,NA,NA,NA,NA,NA,NA,NA
Lupinus adsurgens,native,1,NA,1,1,NA,NA,NA,NA,1894,1987,NA,NA,NA,NA,NA,NA
Lupinus albicaulis,native,1,NA,1,1,NA,NA,NA,NA,1921,1967,NA,NA,NA,NA,NA,NA
Lupinus albifrons,native,1,1,1,1,1,2008,2023,Lupinus albifrons,1900,2007,NA,NA,NA,NA,NA,NA
Lupinus andersonii,native,1,1,1,1,NA,2019,2019,Lupinus andersonii,1902,1974,NA,NA,NA,NA,NA,NA
Lupinus arbustus,native,1,NA,1,1,1,NA,NA,NA,1928,2005,NA,NA,NA,NA,NA,NA
Lupinus argenteus,native,1,1,1,1,1,2021,2022,Lupinus argenteus,1934,2006,NA,NA,NA,NA,NA,NA
Lupinus bicolor,native,1,NA,1,1,NA,NA,NA,NA,1911,1967,NA,NA,NA,NA,NA,NA
Lupinus breweri,native,1,1,1,1,1,1991,2023,Lupinus breweri,1863,2022,NA,NA,NA,NA,NA,NA
Lupinus burkei,native,1,1,1,1,1,2014,2023,Lupinus polyphyllus,1902,2006,NA,NA,NA,NA,NA,NA
Lupinus burkei,native,1,1,1,1,1,2014,2023,Lupinus burkei,1902,2006,NA,NA,NA,NA,NA,NA
Lupinus caudatus,native,1,NA,1,1,NA,NA,NA,NA,1906,1960,NA,NA,NA,NA,NA,NA
Lupinus covillei,native,1,1,1,1,1,1989,2023,Lupinus covillei,1863,2009,NA,NA,NA,NA,NA,NA
Lupinus densiflorus,native,1,1,1,1,NA,2023,2023,Lupinus densiflorus,1895,1895,NA,NA,NA,NA,NA,NA
Lupinus excubitus,native,1,1,1,1,NA,2020,2022,Lupinus excubitus,1933,1950,NA,NA,NA,NA,NA,NA
Lupinus formosus,native,1,1,1,1,1,2018,2020,Lupinus formosus,1941,2006,NA,NA,NA,NA,NA,NA
Lupinus fulcratus,native,1,NA,1,1,NA,NA,NA,NA,1875,1932,NA,NA,NA,NA,NA,NA
Lupinus gracilentus,native,1,1,1,1,1,2022,2022,Lupinus gracilentus,1889,2022,NA,NA,NA,NA,NA,NA
Lupinus grayi,native,1,1,1,1,NA,2014,2023,Lupinus grayi,1872,1872,NA,NA,NA,NA,NA,NA
Lupinus latifolius,native,1,1,1,1,1,2016,2023,Lupinus latifolius,1878,2007,NA,NA,NA,NA,NA,NA
Lupinus lepidus,native,1,1,1,1,1,2013,2023,Lupinus lepidus,1866,2019,NA,NA,NA,NA,NA,NA
Lupinus meionanthus,native,1,NA,1,1,NA,NA,NA,NA,1911,1914,NA,NA,NA,NA,NA,NA
Lupinus nanus,native,1,1,1,1,1,2016,2023,Lupinus nanus,1889,2006,NA,NA,NA,NA,NA,NA
Lupinus stiversii,native,1,1,1,1,NA,2006,2024,Lupinus stiversii,1862,1967,NA,NA,NA,NA,NA,NA
Medicago lupulina,introduced,1,NA,1,1,1,NA,NA,NA,1911,2009,NA,NA,NA,NA,NA,NA
Medicago polymorpha,introduced,1,NA,1,1,1,NA,NA,NA,1944,1998,NA,NA,NA,NA,NA,NA
Medicago sativa,introduced,1,NA,1,1,NA,NA,NA,NA,1935,1935,NA,NA,NA,NA,NA,NA
Melilotus albus,introduced,1,NA,1,1,1,NA,NA,NA,1965,1998,NA,NA,NA,NA,NA,NA
Melilotus indicus,introduced,1,NA,1,1,1,NA,NA,NA,1944,2009,NA,NA,NA,NA,NA,NA
Robinia pseudoacacia,introduced,1,NA,1,NA,1,NA,NA,NA,2009,2009,NA,NA,NA,NA,NA,NA
Trifolium albopurpureum,native,1,1,NA,NA,NA,2021,2021,Trifolium albopurpureum,NA,NA,NA,NA,NA,NA,NA,NA
Trifolium bolanderi,native,1,1,1,1,1,2016,2023,Trifolium bolanderi,1866,2003,NA,NA,NA,NA,NA,NA
Trifolium breweri,native,1,1,1,1,1,2013,2023,Trifolium breweri,1866,2014,NA,NA,NA,NA,NA,NA
Trifolium ciliolatum,native,1,1,1,1,NA,2016,2022,Trifolium ciliolatum,1941,1941,NA,NA,NA,NA,NA,NA
Trifolium dubium,introduced,1,NA,1,NA,1,NA,NA,NA,2002,2010,NA,NA,NA,NA,NA,NA
Trifolium hirtum,introduced,1,1,1,NA,1,2014,2022,Trifolium hirtum,2009,2010,NA,NA,NA,NA,NA,NA
Trifolium longipes,native,1,1,1,1,1,2014,2023,Trifolium longipes,1889,2010,NA,NA,NA,NA,NA,NA
Trifolium microcephalum,native,1,1,1,1,1,2016,2022,Trifolium microcephalum,1891,2009,NA,NA,NA,NA,NA,NA
Trifolium monanthum,native,1,1,1,1,1,2015,2023,Trifolium monanthum,1863,2007,NA,NA,NA,NA,NA,NA
Trifolium obtusiflorum,native,1,1,1,1,1,2019,2023,Trifolium obtusiflorum,1908,2009,NA,NA,NA,NA,NA,NA
Trifolium pratense,introduced,1,1,1,1,1,2019,2023,Trifolium pratense,1919,2009,NA,NA,NA,NA,NA,NA
Trifolium repens,introduced,1,1,1,1,1,2017,2023,Trifolium repens,1900,2010,NA,NA,NA,NA,NA,NA
Trifolium variegatum,native,1,NA,1,1,1,NA,NA,NA,1866,2006,NA,NA,NA,NA,NA,NA
Trifolium willdenovii,native,1,1,1,1,1,2006,2023,Trifolium willdenovii,1878,2006,NA,NA,NA,NA,NA,NA
Trifolium wormskioldii,native,1,1,1,1,1,2017,2022,Trifolium wormskioldii,1885,2006,NA,NA,NA,NA,NA,NA
Vicia americana,native,1,1,1,1,1,2016,2023,Vicia americana,1902,2003,NA,NA,NA,NA,NA,NA
Vicia sativa,introduced,1,1,1,NA,1,2021,2023,Vicia sativa,2009,2009,NA,NA,NA,NA,NA,NA
Chrysolepis sempervirens,native,1,1,1,1,1,2005,2023,Chrysolepis sempervirens,1878,2007,NA,NA,NA,NA,NA,NA
Notholithocarpus densiflorus,native,1,1,1,1,1,2019,2022,Notholithocarpus densiflorus,1935,2010,NA,NA,NA,NA,NA,NA
Quercus chrysolepis,native,1,1,1,1,1,2008,2024,Quercus chrysolepis,1887,1994,NA,NA,NA,NA,NA,NA
Quercus garryana,native,1,1,1,1,NA,2022,2022,Quercus garryana,1907,1907,NA,NA,NA,NA,NA,NA
Quercus kelloggii,native,1,1,1,1,1,2001,2024,Quercus kelloggii,1878,2014,NA,NA,NA,NA,NA,NA
Quercus vacciniifolia,native,1,1,1,1,1,2006,2023,Quercus vacciniifolia,1866,2009,NA,NA,NA,NA,NA,NA
Quercus wislizeni,native,1,1,1,1,NA,2014,2023,Quercus wislizeni,1936,1948,NA,NA,NA,NA,NA,NA
Quercus x morehus,native,1,NA,1,1,NA,NA,NA,NA,1935,1948,NA,NA,NA,NA,NA,NA
Garrya flavescens,native,1,NA,1,1,NA,NA,NA,NA,1948,1948,NA,NA,NA,NA,NA,NA
Garrya fremontii,native,1,1,1,1,NA,2019,2019,Garrya fremontii,1869,1981,NA,NA,NA,NA,NA,NA
Comastoma tenellum,native,1,NA,1,1,1,NA,NA,NA,1926,2012,NA,NA,NA,NA,NA,NA
Frasera speciosa,native,1,1,1,1,NA,2013,2023,Frasera speciosa,1863,1952,NA,NA,NA,NA,NA,NA
Gentiana calycosa,native,1,1,1,1,NA,2019,2023,Gentiana calycosa,1942,1942,NA,NA,NA,NA,NA,NA
Gentiana newberryi,native,1,1,1,1,1,2007,2023,Gentiana newberryi,1889,2007,NA,NA,NA,NA,NA,NA
Gentianella amarella,native,1,1,1,1,1,2009,2023,Gentianella amarella,1866,2005,NA,NA,NA,NA,NA,NA
Gentianopsis holopetala,native,1,1,1,1,1,2004,2023,Gentianopsis holopetala,1864,2007,NA,NA,NA,NA,NA,NA
Gentianopsis simplex,native,1,1,1,1,1,2012,2023,Gentianopsis simplex,1889,2003,NA,NA,NA,NA,NA,NA
Zeltnera abramsii,native,1,1,1,1,NA,2022,2022,Zeltnera abramsii,1939,1939,NA,NA,NA,NA,NA,NA
Zeltnera venusta,native,1,1,1,1,1,2009,2023,Zeltnera venusta,1866,2007,NA,NA,NA,NA,NA,NA
Erodium botrys,introduced,1,NA,1,1,NA,NA,NA,NA,1925,1925,NA,NA,NA,NA,NA,NA
Erodium cicutarium,introduced,1,1,1,1,1,2014,2023,Erodium cicutarium,1900,2009,NA,NA,NA,NA,NA,NA
Geranium californicum,native,1,1,1,1,NA,2022,2022,Geranium californicum,1872,1872,NA,NA,NA,NA,NA,NA
Geranium carolinianum,native,1,NA,1,1,NA,NA,NA,NA,1865,1927,NA,NA,NA,NA,NA,NA
Geranium dissectum,introduced,1,NA,1,1,1,NA,NA,NA,1929,2009,NA,NA,NA,NA,NA,NA
Geranium richardsonii,native,1,1,1,1,NA,2009,2023,Geranium richardsonii,1890,1972,NA,NA,NA,NA,NA,NA
Geranium robertianum,introduced,1,1,1,NA,1,2020,2020,Geranium robertianum,1998,2010,NA,NA,NA,NA,NA,NA
Ribes cereum,native,1,1,1,1,1,2013,2023,Ribes cereum,1866,2006,NA,NA,NA,NA,NA,NA
Ribes inerme,native,1,NA,1,1,NA,NA,NA,NA,1922,1935,NA,NA,NA,NA,NA,NA
Ribes lasianthum,native,1,NA,1,1,1,NA,NA,NA,1909,2005,NA,NA,NA,NA,NA,NA
Ribes montigenum,native,1,1,1,1,1,2014,2023,Ribes montigenum,1889,2006,NA,NA,NA,NA,NA,NA
Ribes nevadense,native,1,1,1,1,NA,2008,2023,Ribes nevadense,1894,1963,NA,NA,NA,NA,NA,NA
Ribes roezlii,native,1,1,1,1,NA,2011,2023,Ribes roezlii,1866,1963,NA,NA,NA,NA,NA,NA
Ribes viscosissimum,native,1,1,1,1,NA,2014,2023,Ribes viscosissimum,1866,1965,NA,NA,NA,NA,NA,NA
Myriophyllum sibiricum,native,1,NA,1,NA,1,NA,NA,NA,2008,2008,NA,NA,NA,NA,NA,NA
Philadelphus lewisii,native,1,1,1,1,NA,2011,2023,Philadelphus lewisii,1884,1977,NA,NA,NA,NA,NA,NA
Hypericum anagalloides,native,1,1,1,1,1,2008,2023,Hypericum anagalloides,1876,2008,NA,NA,NA,NA,NA,NA
Hypericum calycinum,introduced,1,1,1,NA,1,2015,2022,Hypericum calycinum,2008,2010,NA,NA,NA,NA,NA,NA
Hypericum perforatum,introduced,1,1,1,1,1,2019,2023,Hypericum perforatum,1964,1998,NA,NA,NA,NA,NA,NA
Hypericum scouleri,native,1,1,1,1,1,2019,2023,Hypericum scouleri,1866,2007,NA,NA,NA,NA,NA,NA
