accepted_name,scientific_name,status,family,broader,synonym_matches,establishment_means,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,possibly_valid_needs_ID,iNat_outcome,parks_outcome,voucher_outcome,voucher_obs,voucher_obs_coord,year_first,first_observer,year_last,iNat_needs_ID_only_verdict,symbiota,voucher_notes,iNat_notes,parklist_notes
Sequoiadendron giganteum,Sequoiadendron giganteum,current,Cupressaceae,2.gymnosperm,NA,native,1082,40,1,1,1,1,1,1,1,NA,1,NA,retain observation,retain on list,retain voucher,38,22,1880,"Cleveland, Daniel",1987,NA,in Symbiota,NA,NA,NA
Abies concolor,Abies concolor,current,Pinaceae,2.gymnosperm,NA,native,134,60,1,1,1,1,1,1,1,NA,1,NA,retain observation,retain on list,retain voucher,39,29,1882,"Congdon, Joseph Whipple",1981,NA,in Symbiota,NA,NA,NA
Abies magnifica,Abies magnifica,current,Pinaceae,2.gymnosperm,NA,native,56,50,1,1,1,1,1,1,1,NA,1,NA,retain observation,retain on list,retain voucher,23,13,1876,"Lemmon, John G.",1973,NA,in Symbiota,NA,NA,NA
Pinus albicaulis,Pinus albicaulis,current,Pinaceae,2.gymnosperm,NA,native,40,47,1,1,1,1,1,1,1,NA,1,NA,retain observation,retain on list,retain voucher,21,17,1898,"Congdon, Joseph Whipple",1972,NA,in Symbiota,NA,NA,NA
Pinus attenuata,Pinus attenuata,current,Pinaceae,2.gymnosperm,NA,native,3,8,1,1,1,1,1,1,NA,1,1,NA,retain observation,retain on list,retain voucher,2,2,2009,"Taylor, Dean William",2009,NA,in Symbiota,NA,NA,NA
Pinus contorta,Pinus contorta,current,Pinaceae,2.gymnosperm,NA,native,176,12,1,1,1,1,1,1,1,NA,1,NA,retain observation,retain on list,retain voucher,30,22,1864,"Brewer, William Henry",1987,NA,in Symbiota,NA,NA,NA
Pinus jeffreyi,Pinus jeffreyi,current,Pinaceae,2.gymnosperm,NA,native,46,168,1,1,1,1,1,1,1,NA,1,NA,retain observation,retain on list,retain voucher,9,6,1866,State Survey,1962,NA,in Symbiota,NA,NA,NA
Pinus lambertiana,Pinus lambertiana,current,Pinaceae,2.gymnosperm,NA,native,130,78,1,1,1,1,1,1,1,NA,1,NA,retain observation,retain on list,retain voucher,15,11,1880,"Munguia, Lisa",1978,NA,in Symbiota,NA,NA,NA
Pinus monophylla,Pinus monophylla,current,Pinaceae,2.gymnosperm,NA,native,NA,NA,1,1,NA,1,1,NA,1,NA,1,NA,"not in iNat, but occurs in park",retain on list,retain voucher,5,4,1909,Gleason,1962,NA,in Symbiota,"5 CCH2 vouchers, including 2 in YM; but all pre-1935",NA,NA
Pinus monticola,Pinus monticola,current,Pinaceae,2.gymnosperm,NA,native,37,34,1,1,1,1,1,1,1,NA,1,NA,retain observation,retain on list,retain voucher,18,15,1894,"Dudley, William R.",1971,NA,in Symbiota,NA,NA,NA
