accepted_name,family,establishment_means
Cuscuta suksdorfii,Convolvulaceae,native
Cornus nuttallii,Cornaceae,native
Cornus sericea,Cornaceae,native
Crassula aquatica,Crassulaceae,native
Dudleya cymosa,Crassulaceae,native
Rhodiola integrifolia,Crassulaceae,native
Sedella pumila,Crassulaceae,native
Sedum album,Crassulaceae,invasive
Sedum lanceolatum,Crassulaceae,native
Sedum obtusatum,Crassulaceae,native
Sedum radiatum,Crassulaceae,native
Sedum spathulifolium,Crassulaceae,native
Sedum stenopetalum,Crassulaceae,native
Marah fabacea,Cucurbitaceae,native
Marah horrida,Cucurbitaceae,native
Datisca glomerata,Datiscaceae,native
Drosera rotundifolia,Droseraceae,native
Elatine chilensis,Elatinaceae,native
Elatine rubella,Elatinaceae,native
Allotropa virgata,Ericaceae,native
Arctostaphylos manzanita,Ericaceae,native
Arctostaphylos mewukka,Ericaceae,native
Arctostaphylos nevadensis,Ericaceae,native
Arctostaphylos patula,Ericaceae,native
Arctostaphylos viscida,Ericaceae,native
Cassiope mertensiana,Ericaceae,native
Chimaphila umbellata,Ericaceae,native
Gaultheria humifusa,Ericaceae,native
Hemitomes congestum,Ericaceae,native
Kalmia microphylla,Ericaceae,native
Leucothoe davisiae,Ericaceae,native
Orthilia secunda,Ericaceae,native
Phyllodoce breweri,Ericaceae,native
Pleuricospora fimbriolata,Ericaceae,native
Pterospora andromedea,Ericaceae,native
Pyrola aphylla,Ericaceae,native
Pyrola asarifolia,Ericaceae,native
Pyrola dentata,Ericaceae,native
Pyrola minor,Ericaceae,native
Pyrola picta,Ericaceae,native
Rhododendron columbianum,Ericaceae,native
Rhododendron occidentale,Ericaceae,native
Sarcodes sanguinea,Ericaceae,native
Vaccinium cespitosum,Ericaceae,native
Vaccinium parvifolium,Ericaceae,native
Vaccinium shastense,Ericaceae,native
Vaccinium uliginosum,Ericaceae,native
Croton setiger,Euphorbiaceae,native
Euphorbia crenulata,Euphorbiaceae,native
Euphorbia serpyllifolia,Euphorbiaceae,native
Acmispon americanus,Fabaceae,native
Acmispon argophyllus,Fabaceae,native
Acmispon brachycarpus,Fabaceae,native
Acmispon decumbens,Fabaceae,native
Acmispon glaber,Fabaceae,native
Acmispon micranthus,Fabaceae,native
Acmispon parviflorus,Fabaceae,native
Acmispon strigosus,Fabaceae,native
Astragalus bolanderi,Fabaceae,native
Astragalus congdonii,Fabaceae,native
Astragalus kentrophyta,Fabaceae,native
Astragalus lentiginosus,Fabaceae,native
Astragalus purshii,Fabaceae,native
Astragalus whitneyi,Fabaceae,native
Cercis occidentalis,Fabaceae,native
Cytisus scoparius,Fabaceae,invasive
Genista linifolia,Fabaceae,invasive
Hosackia crassifolia,Fabaceae,native
Hosackia oblongifolia,Fabaceae,native
Lathyrus jepsonii,Fabaceae,native
Lathyrus lanszwertii,Fabaceae,native
Lathyrus latifolius,Fabaceae,native
Lathyrus nevadensis,Fabaceae,native
Lathyrus sulphureus,Fabaceae,native
Lotus corniculatus,Fabaceae,invasive
Lupinus adsurgens,Fabaceae,native
Lupinus albicaulis,Fabaceae,native
Lupinus albifrons,Fabaceae,native
Lupinus andersonii,Fabaceae,native
Lupinus arbustus,Fabaceae,native
Lupinus argenteus,Fabaceae,native
Lupinus benthamii,Fabaceae,native
Lupinus bicolor,Fabaceae,native
Lupinus breweri,Fabaceae,native
Lupinus burkei,Fabaceae,native
Lupinus caudatus,Fabaceae,native
Lupinus confertus,Fabaceae,native
Lupinus covillei,Fabaceae,native
Lupinus densiflorus,Fabaceae,native
Lupinus excubitus,Fabaceae,native
Lupinus formosus,Fabaceae,native
Lupinus fulcratus,Fabaceae,native
Lupinus gracilentus,Fabaceae,native
Lupinus grayi,Fabaceae,native
Lupinus latifolius,Fabaceae,native
Lupinus lepidus,Fabaceae,native
Lupinus lyallii,Fabaceae,native
Lupinus meionanthus,Fabaceae,native
Lupinus nanus,Fabaceae,native
Lupinus sellulus,Fabaceae,native
Lupinus stiversii,Fabaceae,native
Medicago lupulina,Fabaceae,invasive
Medicago polymorpha,Fabaceae,invasive
Medicago sativa,Fabaceae,invasive
Melilotus albus,Fabaceae,invasive
Melilotus indicus,Fabaceae,invasive
Melilotus officinalis,Fabaceae,invasive
Robinia pseudoacacia,Fabaceae,invasive
Trifolium albopurpureum,Fabaceae,native
Trifolium bolanderi,Fabaceae,native
Trifolium breweri,Fabaceae,native
Trifolium ciliolatum,Fabaceae,native
Trifolium dubium,Fabaceae,invasive
Trifolium hirtum,Fabaceae,invasive
Trifolium longipes,Fabaceae,native
Trifolium microcephalum,Fabaceae,native
Trifolium monanthum,Fabaceae,native
Trifolium obtusiflorum,Fabaceae,native
