id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
13870880,2018/06/09 11:09 AM PDT,2018-06-09,2018-06-09 18:09:00 UTC,Pacific Time (US & Canada),14811,snakeinmypocket,Vince Scheidt,2018-06-28 22:22:47 UTC,2020-06-08 06:27:04 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/13870880,https://inaturalist-open-data.s3.amazonaws.com/photos/20474809/medium.jpg,,"",,3,0,false,,"Tuolumne County, CA, USA",37.8433027778,-119.8473138889,,,,,,,,false,,,white brodiaea,Triteleia hyacinthina,white brodiaea,Plantae,57132,Asparagaceae,Triteleia,Triteleia hyacinthina,
13870904,2018/06/09 10:59 AM PDT,2018-06-09,2018-06-09 17:59:00 UTC,Pacific Time (US & Canada),14811,snakeinmypocket,Vince Scheidt,2018-06-28 22:23:49 UTC,2018-06-29 01:38:40 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/13870904,https://inaturalist-open-data.s3.amazonaws.com/photos/20474900/medium.jpg,,"",,1,0,false,,"Tuolumne County, CA, USA",37.8433666667,-119.8482027778,,,,,,,,false,,,rainbow iris,Iris hartwegii,rainbow iris,Plantae,62264,Iridaceae,Iris,Iris hartwegii,
13870905,2018/06/09 10:57 AM PDT,2018-06-09,2018-06-09 17:57:00 UTC,Pacific Time (US & Canada),14811,snakeinmypocket,Vince Scheidt,2018-06-28 22:23:49 UTC,2018-06-29 01:38:23 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/13870905,https://inaturalist-open-data.s3.amazonaws.com/photos/20474914/medium.jpg,,"",,1,0,false,,"Tuolumne County, CA, USA",37.8434166667,-119.8477111111,,,,,,,,false,,,narrowleaf mule-ears,Wyethia angustifolia,narrowleaf mule-ears,Plantae,56987,Asteraceae,Wyethia,Wyethia angustifolia,
13870911,2018/06/09 10:46 AM PDT,2018-06-09,2018-06-09 17:46:00 UTC,Pacific Time (US & Canada),14811,snakeinmypocket,Vince Scheidt,2018-06-28 22:24:03 UTC,2019-06-04 15:12:30 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/13870911,https://inaturalist-open-data.s3.amazonaws.com/photos/20474949/medium.jpg,,"",,1,0,false,,"Tuolumne County, CA, USA",37.8431166667,-119.8476805556,,,,,28329,,open,false,,,Foothill Triteleia,Triteleia ixioides scabra,Foothill Triteleia,Plantae,80263,Asparagaceae,Triteleia,Triteleia ixioides,Triteleia ixioides scabra
13870912,2018/06/09 10:44 AM PDT,2018-06-09,2018-06-09 17:44:00 UTC,Pacific Time (US & Canada),14811,snakeinmypocket,Vince Scheidt,2018-06-28 22:24:03 UTC,2018-06-29 01:38:25 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/13870912,https://inaturalist-open-data.s3.amazonaws.com/photos/20474958/medium.jpg,,"",,1,0,false,,"Tuolumne County, CA, USA",37.8431027778,-119.8480611111,,,,,,,,false,,,Sulphur pea,Lathyrus sulphureus,Sulphur pea,Plantae,77646,Fabaceae,Lathyrus,Lathyrus sulphureus,
13870914,2018/06/09 10:32 AM PDT,2018-06-09,2018-06-09 17:32:00 UTC,Pacific Time (US & Canada),14811,snakeinmypocket,Vince Scheidt,2018-06-28 22:24:05 UTC,2021-03-04 02:09:42 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/13870914,https://inaturalist-open-data.s3.amazonaws.com/photos/20474998/medium.jpg,,"",,1,0,false,,"Tuolumne County, CA, USA",37.8423444444,-119.8479,,,,,,,,false,,,Wild Hyacinth,Dichelostemma multiflorum,Round-Tooth Ookow,Plantae,62262,Asparagaceae,Dichelostemma,Dichelostemma multiflorum,
13871364,2018/06/08 11:34 AM PDT,2018-06-08,2018-06-08 18:34:00 UTC,Pacific Time (US & Canada),14811,snakeinmypocket,Vince Scheidt,2018-06-28 22:42:52 UTC,2020-03-26 20:56:14 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/13871364,https://inaturalist-open-data.s3.amazonaws.com/photos/20475429/medium.jpg,,"",,1,0,false,,"Tuolumne County, CA, USA",37.8346111111,-119.848575,,,,,,,,false,,,Linear-lobed Owl's-clover,Castilleja lineariloba,Linear-lobed Owl's-clover,Plantae,58327,Orobanchaceae,Castilleja,Castilleja lineariloba,
13871377,2018/06/08 11:31 AM PDT,2018-06-08,2018-06-08 18:31:00 UTC,Pacific Time (US & Canada),14811,snakeinmypocket,Vince Scheidt,2018-06-28 22:43:31 UTC,2018-06-29 01:31:15 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/13871377,https://inaturalist-open-data.s3.amazonaws.com/photos/20475434/medium.jpg,,"",,1,0,false,,"Tuolumne County, CA, USA",37.8341472222,-119.848425,,,,,,,,false,,,rainbow iris,Iris hartwegii,rainbow iris,Plantae,62264,Iridaceae,Iris,Iris hartwegii,
13871392,2018/06/08 11:29 AM PDT,2018-06-08,2018-06-08 18:29:00 UTC,Pacific Time (US & Canada),14811,snakeinmypocket,Vince Scheidt,2018-06-28 22:44:26 UTC,2020-09-30 19:54:02 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/13871392,https://inaturalist-open-data.s3.amazonaws.com/photos/20475446/medium.jpg,,"",,2,0,false,,"Tuolumne County, CA, USA",37.8343555556,-119.8486416667,,,,,,,,false,,,Castilleja disticha,Castilleja disticha,Distichous Paintbrush,Plantae,1044224,Orobanchaceae,Castilleja,Castilleja disticha,
13873931,2018/06/08 11:27 AM PDT,2018-06-08,2018-06-08 18:27:00 UTC,Pacific Time (US & Canada),14811,snakeinmypocket,Vince Scheidt,2018-06-29 00:49:55 UTC,2018-06-29 06:40:18 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/13873931,https://inaturalist-open-data.s3.amazonaws.com/photos/20481938/medium.jpg,,"",,1,0,false,,"Tuolumne County, CA, USA",37.8343611111,-119.8486527778,,,,,,,,false,,,Sierra mariposa lily,Calochortus minimus,Sierra mariposa lily,Plantae,60549,Liliaceae,Calochortus,Calochortus minimus,
13873932,2018/06/08 11:23 AM PDT,2018-06-08,2018-06-08 18:23:00 UTC,Pacific Time (US & Canada),14811,snakeinmypocket,Vince Scheidt,2018-06-29 00:49:55 UTC,2021-03-04 04:02:04 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/13873932,https://inaturalist-open-data.s3.amazonaws.com/photos/20481965/medium.jpg,,"",,1,0,false,,"Tuolumne County, CA, USA",37.8343611111,-119.8486527778,,,,,,,,false,,,Dipterostemon capitatus capitatus,Dipterostemon capitatus capitatus,,Plantae,1196824,Asparagaceae,Dipterostemon,Dipterostemon capitatus,Dipterostemon capitatus capitatus
13873933,2018/06/08 11:21 AM PDT,2018-06-08,2018-06-08 18:21:00 UTC,Pacific Time (US & Canada),14811,snakeinmypocket,Vince Scheidt,2018-06-29 00:49:55 UTC,2018-06-29 01:23:16 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/13873933,https://inaturalist-open-data.s3.amazonaws.com/photos/20481987/medium.jpg,,"",,1,0,false,,"Tuolumne County, CA, USA",37.8343277778,-119.8486277778,,,,,,,,false,,,rainbow iris,Iris hartwegii,rainbow iris,Plantae,62264,Iridaceae,Iris,Iris hartwegii,
13873937,2018/06/08 11:19 AM PDT,2018-06-08,2018-06-08 18:19:00 UTC,Pacific Time (US & Canada),14811,snakeinmypocket,Vince Scheidt,2018-06-29 00:49:57 UTC,2018-06-29 14:08:15 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/13873937,https://inaturalist-open-data.s3.amazonaws.com/photos/20482017/medium.jpg,,"",,2,0,false,,"Tuolumne County, CA, USA",37.8344388889,-119.8483861111,,,,,,,,false,,,Sierra mariposa lily,Calochortus minimus,Sierra mariposa lily,Plantae,60549,Liliaceae,Calochortus,Calochortus minimus,
