institutionCode,collectionCode,basisOfRecord,family,species,day,month,year,decimalLatitude,decimalLongitude
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Erigeron algidus,8,8,1944,37.829545,-119.379727
UCJEPS,VASC,PreservedSpecimen,Poaceae,Poa stebbinsii,8,8,1944,37.829545,-119.379727
UCJEPS,VASC,PreservedSpecimen,Isoetaceae,Isoetes occidentalis,24,7,1936,37.845,-119.36917
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Erigeron algidus,2,8,1923,37.845,-119.36917
UCJEPS,VASC,PreservedSpecimen,Ericaceae,Vaccinium cespitosum,2,8,1923,37.845,-119.36917
UCJEPS,VASC,PreservedSpecimen,Cyperaceae,Carex nigricans,24,7,1936,37.845,-119.36917
UCJEPS,VASC,PreservedSpecimen,Cyperaceae,Carex straminiformis,24,7,1936,37.845,-119.36917
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Antennaria media,24,7,1936,37.845,-119.36917
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Antennaria media,24,7,1936,37.845,-119.36917
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Antennaria media,24,7,1936,37.845,-119.36917
UCJEPS,VASC,PreservedSpecimen,Cyperaceae,Carex nigricans,24,7,1936,37.845,-119.36917
UCJEPS,VASC,PreservedSpecimen,Cyperaceae,Carex nigricans,24,7,1936,37.845,-119.36917
UCJEPS,VASC,PreservedSpecimen,Poaceae,Poa secunda,24,7,1936,37.845,-119.36917
UCJEPS,VASC,PreservedSpecimen,Poaceae,Poa secunda,24,7,1936,37.845,-119.36917
UCJEPS,VASC,PreservedSpecimen,Poaceae,Poa secunda,24,7,1936,37.845,-119.36917
UCJEPS,VASC,PreservedSpecimen,Cyperaceae,Eleocharis quinqueflora,24,7,1936,37.845,-119.36917
UCJEPS,VASC,PreservedSpecimen,Montiaceae,Lewisia pygmaea,24,7,1936,37.845,-119.36917
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Arnica nevadensis,2,8,1923,37.845,-119.36917
UCJEPS,VASC,PreservedSpecimen,Grossulariaceae,Ribes montigenum,2,8,1923,37.8452,-119.36857
UCJEPS,VASC,PreservedSpecimen,Orobanchaceae,Castilleja nana,2,8,1923,37.8452,-119.36857
UCJEPS,VASC,PreservedSpecimen,Montiaceae,Calyptridium umbellatum,24,8,1936,37.84535,-119.368355
UCJEPS,VASC,PreservedSpecimen,Poaceae,Poa stebbinsii,30,7,1935,37.845108,-119.371254
UCJEPS,VASC,PreservedSpecimen,Phrymaceae,Diplacus leptaleus,31,7,1940,37.845142,-119.36857
UCJEPS,VASC,PreservedSpecimen,Salicaceae,Salix orestera,24,7,1936,37.845142,-119.36857
UCJEPS,VASC,PreservedSpecimen,Phrymaceae,Diplacus leptaleus,31,7,1940,37.845142,-119.36857
UCJEPS,VASC,PreservedSpecimen,Montiaceae,Lewisia pygmaea,2,8,1923,37.84556,-119.38111
YM,,PreservedSpecimen,Rosaceae,Potentilla breweri,15,8,1922,37.87438,-119.37504
YM,,PreservedSpecimen,Gentianaceae,Gentiana newberryi,18,8,1923,37.87438,-119.37504
YM,,PreservedSpecimen,Salicaceae,Salix lemmonii,22,7,1935,37.87438,-119.37504
YM,,PreservedSpecimen,Caprifoliaceae,Lonicera involucrata,22,7,1935,37.87438,-119.37504
YM,,PreservedSpecimen,Caprifoliaceae,Lonicera involucrata,22,7,1935,37.87438,-119.37504
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Erigeron glacialis,1,7,1902,37.87438,-119.37504
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Erigeron glacialis,1,7,1902,37.87438,-119.37504
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Erigeron glacialis,1,7,1902,37.87438,-119.37504
UCJEPS,VASC,PreservedSpecimen,Rosaceae,Fragaria virginiana,1,7,1902,37.87438,-119.37504
UCJEPS,VASC,PreservedSpecimen,Rosaceae,Fragaria virginiana,1,7,1902,37.87438,-119.37504
UCJEPS,VASC,PreservedSpecimen,Rosaceae,Fragaria virginiana,1,7,1902,37.87438,-119.37504
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Pyrrocoma apargioides,13,8,1923,37.87438,-119.37504
UCJEPS,VASC,PreservedSpecimen,Selaginellaceae,Selaginella watsonii,21,7,1935,37.87438,-119.37504
UCJEPS,VASC,PreservedSpecimen,Isoetaceae,Isoetes bolanderi,1,9,1925,37.87438,-119.37504
YM,,PreservedSpecimen,Cyperaceae,Carex heteroneura,12,7,1956,37.87438,-119.37504
YM,,PreservedSpecimen,Cyperaceae,Carex heteroneura,12,7,1956,37.87438,-119.37504
YM,,PreservedSpecimen,Cyperaceae,Carex heteroneura,12,7,1956,37.87438,-119.37504
YM,,PreservedSpecimen,Juncaceae,Juncus nevadensis,12,7,1956,37.87438,-119.37504
YM,,PreservedSpecimen,Grossulariaceae,Ribes montigenum,12,7,1956,37.87438,-119.37504
YM,,PreservedSpecimen,Asteraceae,Anaphalis margaritacea,10,9,1923,37.87438,-119.37504
YM,,PreservedSpecimen,Violaceae,Viola adunca,11,7,1942,37.87438,-119.37504
YM,,PreservedSpecimen,Onagraceae,Epilobium minutum,6,8,1928,37.87438,-119.37504
YM,,PreservedSpecimen,Plantaginaceae,Hippuris vulgaris,6,9,1929,37.87438,-119.37504
YM,,PreservedSpecimen,Asteraceae,Erigeron lonchophyllus,NA,NA,NA,37.87438,-119.37504
YM,,PreservedSpecimen,Ericaceae,Cassiope mertensiana,22,7,1935,37.87438,-119.37504
YM,,PreservedSpecimen,Ericaceae,Cassiope mertensiana,22,7,1935,37.87438,-119.37504
YM,,PreservedSpecimen,Grossulariaceae,Ribes cereum,22,6,1935,37.87438,-119.37504
YM,,PreservedSpecimen,Rosaceae,Potentilla breweri,22,7,1935,37.87438,-119.37504
YM,,PreservedSpecimen,Rosaceae,Potentilla glaucophylla,21,7,1935,37.87438,-119.37504
YM,,PreservedSpecimen,Rosaceae,Potentilla glaucophylla,21,7,1935,37.87438,-119.37504
YM,,PreservedSpecimen,Rosaceae,Potentilla grayi,6,9,1928,37.87438,-119.37504
YM,,PreservedSpecimen,Fabaceae,Trifolium monanthum,21,7,1935,37.87438,-119.37504
YM,,PreservedSpecimen,Fabaceae,Trifolium monanthum,21,7,1935,37.87438,-119.37504
YM,,PreservedSpecimen,Fabaceae,Trifolium monanthum,21,7,1935,37.87438,-119.37504
YM,,PreservedSpecimen,Asteraceae,Stephanomeria tenuifolia,7,8,1930,37.87438,-119.37504
YM,,PreservedSpecimen,Montiaceae,Montia chamissoi,22,7,1935,37.87438,-119.37504
YM,,PreservedSpecimen,Brassicaceae,Erysimum capitatum,6,6,1928,37.87438,-119.37504
YM,,PreservedSpecimen,Brassicaceae,Erysimum capitatum,6,6,1928,37.87438,-119.37504
YM,,PreservedSpecimen,Cyperaceae,Carex douglasii,13,7,1942,37.87438,-119.37504
YM,,PreservedSpecimen,Orobanchaceae,Castilleja lemmonii,22,7,1935,37.87438,-119.37504
YM,,PreservedSpecimen,Orobanchaceae,Castilleja miniata,6,9,1927,37.87438,-119.37504
YM,,PreservedSpecimen,Alliaceae,Allium validum,21,7,1935,37.87438,-119.37504
YM,,PreservedSpecimen,Salicaceae,Salix eastwoodiae,22,7,1935,37.87438,-119.37504
YM,,PreservedSpecimen,Salicaceae,Salix eastwoodiae,22,7,1935,37.87438,-119.37504
YM,,PreservedSpecimen,Salicaceae,Salix eastwoodiae,22,7,1935,37.87438,-119.37504
YM,,PreservedSpecimen,Salicaceae,Salix planifolia,22,7,1935,37.87438,-119.37504
YM,,PreservedSpecimen,Polygonaceae,Eriogonum lobbii,21,7,1935,37.87438,-119.37504
YM,,PreservedSpecimen,Typhaceae,Sparganium angustifolium,6,8,1928,37.87438,-119.37504
YM,,PreservedSpecimen,Lentibulariaceae,Utricularia vulgaris,16,7,1924,37.87438,-119.37504
YM,,PreservedSpecimen,Poaceae,Agrostis idahoensis,NA,NA,NA,37.87438,-119.37504
YM,,PreservedSpecimen,Poaceae,Agrostis scabra,20,7,1926,37.87438,-119.37504
YM,,PreservedSpecimen,Poaceae,Agrostis scabra,8,7,1926,37.87438,-119.37504
YM,,PreservedSpecimen,Caprifoliaceae,Lonicera involucrata,6,9,1929,37.87438,-119.37504
YM,,PreservedSpecimen,Caprifoliaceae,Lonicera involucrata,6,9,1929,37.87438,-119.37504
YM,,PreservedSpecimen,Caprifoliaceae,Lonicera involucrata,6,8,1928,37.87438,-119.37504
YM,,PreservedSpecimen,Caprifoliaceae,Lonicera involucrata,6,8,1928,37.87438,-119.37504
YM,,PreservedSpecimen,Pteridaceae,Cryptogramma acrostichoides,16,8,1926,37.87438,-119.37504
YM,,PreservedSpecimen,Pteridaceae,Cryptogramma acrostichoides,16,8,1926,37.87438,-119.37504
YM,,PreservedSpecimen,Ophioglossaceae,Botrychium simplex,22,7,1935,37.87438,-119.37504
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Packera pauciflora,1,7,1902,37.87438,-119.37504
UCJEPS,VASC,PreservedSpecimen,Poaceae,Poa stebbinsii,1,1,1897,37.87438,-119.37504
UCJEPS,VASC,PreservedSpecimen,Violaceae,Viola adunca,1,7,1902,37.87438,-119.37504
UCJEPS,VASC,PreservedSpecimen,Poaceae,Deschampsia cespitosa,7,8,1923,37.87438,-119.37504
UCJEPS,VASC,PreservedSpecimen,Poaceae,Deschampsia cespitosa,7,8,1923,37.87438,-119.37504
UCJEPS,VASC,PreservedSpecimen,Ericaceae,Cassiope mertensiana,1,7,1901,37.87438,-119.37504
UCJEPS,VASC,PreservedSpecimen,Ericaceae,Cassiope mertensiana,1,7,1901,37.87438,-119.37504
