coreid,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementDeterminedDate,measurementDeterminedBy,measurementRemarks
3223801,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:06Z,kdpearso,
3516652,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:04Z,kdpearso,
3148794,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:04Z,kdpearso,
3160353,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:06Z,kdpearso,
3268791,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:09Z,kdpearso,
3383226,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:04Z,kdpearso,
3147671,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:09Z,kdpearso,
3322792,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:09Z,kdpearso,
3152082,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:09Z,kdpearso,
3189347,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:09Z,kdpearso,
3195099,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-02T12:58:12Z,kdpearso,
