notes,accepted_name,scientific_name,status,family,broader,establishment_means,count_RG,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,iNat_needsID_only,final_list,iNat_outcome,parks_outcome,voucher_outcome,old&recent,first_voucher,last_voucher,iNat_needs_ID_?,first_iNat,last_iNat
,Hemigenia purpurea,Hemigenia purpurea,current,Lamiaceae,3.dicot,native,85,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1887,2017,,1988,2024
,Herbertia lahue,Herbertia lahue,current,Iridaceae,5.monocot-colorful,introduced,8,,,1,,,1,,,,1,retain observation,"not on parks list, but occurs in park","no voucher, but exists in park",no_vouchers,,,,2016,2022
,Hibbertia acicularis ,Hibbertia acicularis ,current,Dilleniaceae,3.dicot,native,,1,,,1,,,,,,1," XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Hibbertia aspera,Hibbertia aspera,current,Dilleniaceae,3.dicot,native,3,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1970,1970,,2021,2024
,Hibbertia bracteata,Hibbertia bracteata,current,Dilleniaceae,3.dicot,native,,,1,,,1,,1,,,1,needsID-likely correct,"not on parks list, but occurs in park",retain voucher,old_vouchers_only,1955,1955,yes_correct,,
,Hibbertia dentata,Hibbertia dentata,current,Dilleniaceae,3.dicot,native,49,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1932,1998,,2016,2024
,Hibbertia empetrifolia,Hibbertia empetrifolia,current,Dilleniaceae,3.dicot,native,6,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1972,2017,,2020,2024
,Hibbertia ericifolia,Hibbertia ericifolia,current,Dilleniaceae,3.dicot,native,16,,,1,1,1,1,1,1,,1,retain observation,"retain, misapplied","retain, misapplied",old&recent_vouchers,1970,2012,,2019,2023
serpyllifolia now recognised as Queensland only,Hibbertia ericifolia,Hibbertia serpyllifolia,misapplied,Dilleniaceae,3.dicot,native,,1,1,,misapplied,misapplied,misapplied,,,,,XX-misapplied other list,"XX-misapplied re vouchers, parks",XX-misapplied re parks & voucher,(remove),,,,,
,Hibbertia fasciculata,Hibbertia fasciculata,current,Dilleniaceae,3.dicot,native,4,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1972,1998,,2020,2022
,Hibbertia linearis,Hibbertia linearis,current,Dilleniaceae,3.dicot,native,1,1,1,1,1,1,1,1,1,,1,"retain, but restricted license",retain on list,retain voucher,old&recent_vouchers,1970,2012,,2023,2023
,Hibbertia monogyna,Hibbertia monogyna,current,Dilleniaceae,3.dicot,native,11,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1969,2022,,2020,2023
"1898 voucher geolocated outside Royal, but inside park based on notes",Hibbertia nitida,Hibbertia nitida,current,Dilleniaceae,3.dicot,native,22,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1898,2006,,2020,2023
,Hibbertia obtusifolia,Hibbertia obtusifolia,current,Dilleniaceae,3.dicot,native,3,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1974,1974,,2021,2022
,Hibbertia pedunculata,Hibbertia pedunculata,current,Dilleniaceae,3.dicot,native,,1,,,1,,,,,,1," XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Hibbertia riparia,Hibbertia riparia,current,Dilleniaceae,3.dicot,native,,1,,,1,,,,,,1," XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,yes_incorrect,,
1975 voucher clearly from Royal but had been geolocated into ocean,Hibbertia salicifolia,Hibbertia salicifolia,current,Dilleniaceae,3.dicot,native,,1,1,,1,1,,1,1,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old&recent_vouchers,1975,2001,none,,
,Hibbertia scandens,Hibbertia scandens,current,Dilleniaceae,3.dicot,native,57,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1948,2022,,1988,2024
,Hibbertia stricta,Hibbertia stricta,current,Dilleniaceae,3.dicot,native,2,,,1,,,1,,,,1,retain observation,"not on parks list, but occurs in park","no voucher, but exists in park",no_vouchers,,,,2022,2022
"1912 voucher from Royal, but locality notes say Centennial Park, so clearly incorrectly geocoordinated",Hibbertia virgata,Hibbertia virgata,current,Dilleniaceae,3.dicot,native,,,1,,,,,,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, wrong coordinates",(disagree with voucher),,,,,
"I'm not 100% sold that the coordinates should actually be in Royal based on the locality notes, but not doubtful enough to remove this",Hibiscus richardsonii,Hibiscus richardsonii,current,Malvaceae,3.dicot,native,,,1,,,1,,1,,,1,needsID-likely correct,"not on parks list, but occurs in park",retain voucher,old_vouchers_only,1890,1890,yes_correct,,
,Hicksbeachia pinnatifolia,Hicksbeachia pinnatifolia,current,Proteaceae,3.dicot,out-of-range,,,,1,,,,,,,,"remove, 03. horticultural","XX-not on parks list, not in park","XX-no voucher, not in park",(remove),,,,,
,Histiopteris incisa,Histiopteris incisa,current,Dennstaedtiaceae,1.ferns/primitive,native,10,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1927,1953,,2020,2023
,Holcus lanatus,Holcus lanatus,current,Poaceae,4.monocot,introduced,1,,,1,,,1,,,,1,retain observation,"not on parks list, but occurs in park","no voucher, but exists in park",no_vouchers,,,,2021,2021
,Homalanthus populifolius,Homalanthus populifolius,current,Euphorbiaceae,3.dicot,native,3,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,2023,2023
,Homalanthus stillingiifolius,Homalanthus stillingiifolius,current,Euphorbiaceae,3.dicot,native,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1969,1969,none,,
,Hovea linearis,Hovea linearis,current,Fabaceae,3.dicot,native,10,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1888,1946,,2019,2023
,Hovea longifolia,Hovea longifolia,current,Fabaceae,3.dicot,native,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1891,1936,none,,
,Hydrocleys nymphoides,Hydrocleys nymphoides,current,Alismataceae,5.monocot-colorful,introduced,6,,1,1,,1,1,,1,,1,retain observation,"not on parks list, but occurs in park",retain voucher,recent_vouchers_only,2016,2016,,2018,2024
"have removed the 2006 voucher, as it's actually an incorrect duplicate of a H. hirta record fed back into the ALA by BioNet with the ID incorrectly changed; another pervasive BioNet error",Hydrocotyle acutiloba,Hydrocotyle acutiloba,current,Araliaceae,3.dicot,native,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1949,1968,none,,
,Hydrocotyle bonariensis,Hydrocotyle bonariensis,current,Araliaceae,3.dicot,introduced,10,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1960,1960,,1988,2024
,Hydrocotyle geraniifolia,Hydrocotyle geraniifolia,current,Araliaceae,3.dicot,native,1,1,1,1,1,1,1,1,,,1,"retain, but restricted license",retain on list,retain voucher,old_vouchers_only,1899,1968,,2023,2023
,Hydrocotyle hirta,Hydrocotyle hirta,current,Araliaceae,3.dicot,native,2,1,1,1,1,1,1,,1,,1,retain observation,retain on list,retain voucher,recent_vouchers_only,2006,2006,,2023,2024
,Hydrocotyle laxiflora,Hydrocotyle laxiflora,current,Araliaceae,3.dicot,native,,1,,,1,,,,,,1," XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Hydrocotyle sibthorpioides,Hydrocotyle sibthorpioides,current,Araliaceae,3.dicot,native,,,,,1,,,,,,1,needsID-likely correct,"retain, synonym","no voucher, but exists in park",no_vouchers,,,yes_correct,,
,Hydrocotyle sibthorpioides,Hydrocotyle peduncularis,synonym,Araliaceae,3.dicot,native,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym re parks list,XX-synonym re parks list,(remove),,,,,
,Hydrocotyle tripartita,Hydrocotyle tripartita,current,Araliaceae,3.dicot,native,1,,1,1,,1,1,1,,,1,"retain, but restricted license","not on parks list, but occurs in park",retain voucher,old_vouchers_only,1961,1961,,2024,2024
,Hymenophyllum cupressiforme,Hymenophyllum cupressiforme,current,Hymenophyllaceae,1.ferns/primitive,native,2,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1888,1964,,2021,2023
the only voucher from Royal is actually an incorrect duplicate of an H. cupressiforme record fed back into the ALA by BioNet with the ID incorrectly changed; another pervasive BioNet error,Hymenophyllum peltatum,Hymenophyllum peltatum,current,Hymenophyllaceae,1.ferns/primitive,out-of-range,,,1,,,,,,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, listing based on database error",(disagree with voucher),,,,,
,Hypericum gramineum,Hypericum gramineum,current,Hypericaceae,3.dicot,native,1,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,2020,2020
,Hypochaeris glabra,Hypochaeris glabra,current,Asteraceae,3.dicot,introduced,,1,,,1,,,,,,1," XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Hypochaeris radicata,Hypochaeris radicata,current,Asteraceae,3.dicot,introduced,,1,,,1,,,,,,1," XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
"1961 voucher geolocated outside Royal, but inside park based on notes",Hypolaena fastigiata,Hypolaena fastigiata,current,Restionaceae,4.monocot,native,,1,1,,1,1,,1,1,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old&recent_vouchers,1961,1992,none,,
,Hypolepis glandulifera,Hypolepis glandulifera,current,Dennstaedtiaceae,1.ferns/primitive,native,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1952,1966,none,,
,Hypolepis muelleri,Hypolepis muelleri,current,Dennstaedtiaceae,1.ferns/primitive,native,7,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1955,2001,,2021,2023
,Hypoxis hygrometrica,Hypoxis hygrometrica,current,Hypoxidaceae,5.monocot-colorful,native,,1,1,,1,1,,,1,,1,needsID-likely correct,retain on list,retain voucher,recent_vouchers_only,2016,2016,yes_correct,,
,Imperata cylindrica,Imperata cylindrica,current,Poaceae,4.monocot,native,3,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1915,2015,,2022,2024
,Indigofera australis,Indigofera australis,current,Fabaceae,3.dicot,native,21,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1924,1936,,2004,2023
,Ipomoea cairica,Ipomoea cairica,current,Convolvulaceae,3.dicot,introduced,,1,1,,1,1,,,1,,1," XX-not in iNat, yes in park",retain on list,retain voucher,recent_vouchers_only,2002,2002,none,,
,Ipomoea indica,Ipomoea indica,current,Convolvulaceae,3.dicot,introduced,1,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,2021,2021
"There are two vouchers for which the locality notes state Jibbon Beach. This location is in Royal, and indeed is the same location as the iNaturalist observation of this species, but for some reason the coordinates have instead erroneously been placed on the headland on the opposite side of Port Hacking.",Ipomoea pes-caprae,Ipomoea pes-caprae,current,Convolvulaceae,3.dicot,native,1,,,1,1,1,1,1,,,1,retain observation,"retain, synonym","add, voucher found during check",old_vouchers_only,1947,1952,,2022,2022
brasiliensis treated as a subspecies of pes-caprae on iNat,Ipomoea pes-caprae,Ipomoea brasiliensis,synonym,Convolvulaceae,3.dicot,native,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym re parks list,XX-synonym re parks list,(remove),,,,,
,Ipomoea purpurea,Ipomoea purpurea,current,Convolvulaceae,3.dicot,introduced,,1,,,1,,,,,,1," XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Isachne globosa,Isachne globosa,current,Poaceae,4.monocot,native,,1,,,1,,,,,,1," XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Isolepis cernua,Isolepis cernua,current,Cyperaceae,4.monocot,native,,1,1,,1,1,,1,1,,1,needsID-likely correct,retain on list,retain voucher,old&recent_vouchers,1909,1998,yes_correct,,
1908 voucher incorrectly geolocated into Royal,Isolepis fluitans,Isolepis fluitans,current,Cyperaceae,4.monocot,native,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1905,1905,none,,
,Isolepis inundata,Isolepis inundata,current,Cyperaceae,4.monocot,native,,1,1,,1,1,,1,1,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old&recent_vouchers,1975,2016,none,,
,Isolepis levynsiana,Isolepis levynsiana,current,Cyperaceae,4.monocot,introduced,,,1,,1,1,,1,,,1," XX-not in iNat, yes in park","retain, synonym",retain voucher,old_vouchers_only,1986,1986,none,,
,Isolepis levynsiana,Cyperus tenellus,synonym,Cyperaceae,4.monocot,introduced,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym re parks list,XX-synonym re parks list,(remove),,,,,
,Isolepis prolifera,Isolepis prolifera,current,Cyperaceae,4.monocot,introduced,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1975,1975,none,,
,Isopogon anemonifolius,Isopogon anemonifolius,current,Proteaceae,3.dicot,native,164,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1888,2015,,1989,2024
,Isopogon anethifolius,Isopogon anethifolius,current,Proteaceae,3.dicot,native,42,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1932,2012,,1988,2024
,Isotoma fluviatilis ,Isotoma fluviatilis ,current,Campanulaceae,3.dicot,native,,1,,,1,,,,,,1," XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
"the 1899 voucher is interesting location-wise. The locality was only given at the time as 'Heathcote'. There have been a lot of these thus far, ie 1800s/early 1900s vouchers with location given only as Heathcote, and they have generally all been geolocated on the Royal side of Heathcote. I have accepted all of these as legitimate locations given they are effectively non-falsifiable. For this particular record, however, someone has written in pencil on the sheet a set of coordinates (who, when, totally unclear, wasn't the collector though); when searching them, it geolocates the voucher just outside of Royal, into the middle of a suburban backyard just on the western edge. Given this pencil annotation was clearly not made by the original collector, I have no idea on what basis those coordinates were produced (the spot doesn't even seem to correspond to a notable landmark or the centroid of anywhere), so I am disregarding them for now",Jacksonia scoparia,Jacksonia scoparia,current,Fabaceae,3.dicot,native,,,1,,,1,,1,,,1," XX-not in iNat, yes in park","not on parks list, but occurs in park",retain voucher,old_vouchers_only,1899,1899,none,,
,Juncus acuminatus,Juncus acuminatus,current,Juncaceae,4.monocot,introduced,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1973,1989,none,,
,Juncus articulatus,Juncus articulatus,current,Juncaceae,4.monocot,introduced,,1,,,1,,,,,,1," XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
"1895 voucher geolocated outside Royal, but inside park based on notes",Juncus bufonius,Juncus bufonius,current,Juncaceae,4.monocot,native,,1,,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,"add, voucher found during check",old_vouchers_only,1895,1895,none,,
,Juncus bulbosus,Juncus bulbosus,current,Juncaceae,4.monocot,introduced,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1975,1975,none,,
"both vouchers clearly from Royal based on notes, but had been geolocated into the ocean",Juncus caespiticius,Juncus caespiticius,current,Juncaceae,4.monocot,native,,1,,,1,1,,,1,,1," XX-not in iNat, yes in park",retain on list,"add, voucher found during check",recent_vouchers_only,1995,1996,none,,
,Juncus capillaceus,Juncus capillaceus,current,Juncaceae,4.monocot,introduced,,1,1,,1,1,,1,1,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old&recent_vouchers,1965,1998,none,,
,Juncus cognatus,Juncus cognatus,current,Juncaceae,4.monocot,introduced,,1,1,,1,1,,1,1,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old&recent_vouchers,1954,2015,none,,
,Juncus continuus,Juncus continuus,current,Juncaceae,4.monocot,native,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1896,1975,none,,
,Juncus dichotomus,Juncus dichotomus,current,Juncaceae,4.monocot,introduced,,,,,,,,,,1,1,needsID_only_correct,"not on parks list, but occurs in park","no voucher, but exists in park",no_vouchers,,,,2022,2022
,Juncus effusus,Juncus effusus,current,Juncaceae,4.monocot,introduced,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1975,1975,none,,
,Juncus flavidus,Juncus flavidus,current,Juncaceae,4.monocot,native,,1,1,,1,1,,1,1,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old&recent_vouchers,1953,1999,none,,
,Juncus homalocaulis,Juncus homalocaulis,current,Juncaceae,4.monocot,native,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1975,1975,none,,
"voucher in Royal for 100% certain, although coordinates do not match detailed verbatim locality",Juncus imbricatus,Juncus imbricatus,current,Juncaceae,4.monocot,introduced,,,1,,,1,,,1,,1," XX-not in iNat, yes in park","not on parks list, but occurs in park",retain voucher,recent_vouchers_only,1998,1998,none,,
,Juncus kraussii ,Juncus kraussii ,current,Juncaceae,4.monocot,native,,1,,,1,,,,,,1," XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Juncus microcephalus,Juncus microcephalus,current,Juncaceae,4.monocot,introduced,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1973,1973,none,,
,Juncus pallidus,Juncus pallidus,current,Juncaceae,4.monocot,native,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1975,1975,none,,
"1995 voucher definitely from the park, but has been geolocated into the ocean, just outside the park, when digitised",Juncus pauciflorus,Juncus pauciflorus,current,Juncaceae,4.monocot,native,,1,1,,1,1,,1,1,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old&recent_vouchers,1966,1995,none,,
,Juncus planifolius,Juncus planifolius,current,Juncaceae,4.monocot,native,3,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1973,2016,,2022,2023
,Juncus prismatocarpus,Juncus prismatocarpus,current,Juncaceae,4.monocot,native,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1894,1975,none,,
,Juncus remotiflorus,Juncus remotiflorus,current,Juncaceae,4.monocot,native,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1975,1975,none,,
,Juncus subsecundus,Juncus subsecundus,current,Juncaceae,4.monocot,native,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1953,1975,none,,
,Juncus tenuis,Juncus tenuis,current,Juncaceae,4.monocot,introduced,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1975,1975,none,,
,Juncus usitatus,Juncus usitatus,current,Juncaceae,4.monocot,native,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1952,1975,none,,
,Juncus vaginatus,Juncus vaginatus,current,Juncaceae,4.monocot,native,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1893,1896,none,,
,Kalanchoe × houghtonii,Kalanchoe × houghtonii,current,Crassulaceae,3.dicot,introduced,1,,,1,,,1,,,,1,"retain, but restricted license","not on parks list, but occurs in park","no voucher, but exists in park",no_vouchers,,,,2019,2019
,Kalanchoe delagoensis,Kalanchoe delagoensis,current,Crassulaceae,3.dicot,introduced,16,,,1,,1,1,,1,,1,retain observation,"not on parks list, but occurs in park","retain, synonym",recent_vouchers_only,2018,2018,,2018,2023
,Kalanchoe delagoensis,Bryophyllum delagoense,synonym,Crassulaceae,3.dicot,introduced,,,1,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym voucher,XX-synonym re voucher,(remove),,,,,
,Kennedia prostrata,Kennedia prostrata,current,Fabaceae,3.dicot,native,11,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1904,1998,,2004,2023
,Kennedia rubicunda,Kennedia rubicunda,current,Fabaceae,3.dicot,native,30,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1952,2004,,2019,2023
,Kniphofia uvaria,Kniphofia uvaria,current,Asphodelaceae,5.monocot-colorful,introduced,2,,,1,,,1,,,,1,retain observation,"not on parks list, but occurs in park","no voucher, but exists in park",no_vouchers,,,,2021,2021
,Korthalsella rubra ,Korthalsella rubra ,current,Santalaceae,3.dicot,native,,1,,,1,,,,,,1," XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Kunzea ambigua,Kunzea ambigua,current,Myrtaceae,3.dicot,native,34,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1903,2015,,2011,2023
,Kunzea capitata,Kunzea capitata,current,Myrtaceae,3.dicot,native,63,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1896,2016,,1980,2023
,Lachnagrostis billardierei ,Lachnagrostis billardierei ,current,Poaceae,4.monocot,native,,1,,,1,,,,,,1," XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Lachnagrostis filiformis,Lachnagrostis filiformis,current,Poaceae,4.monocot,native,,1,1,,1,1,,1,1,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old&recent_vouchers,1966,1994,none,,
,Lagenophora brachyglossa,Lagenophora brachyglossa,current,Asteraceae,3.dicot,native,,,,,,,,,,1,1,needsID_only_correct,"not on parks list, but occurs in park","no voucher, but exists in park",no_vouchers,,,,2022,2022
,Lagenophora sublyrata,Lagenophora sublyrata,current,Asteraceae,3.dicot,native,1,,,1,1,,1,,,,1,retain observation,"retain, misapplied","no voucher, but exists in park",no_vouchers,,,,2022,2022
"I'm pretty confident the entity being referred to here by the park list is actually Lagenophora sublyrata. Sublyrata is the common Lagenophora species I've found in Royal, and there are no records (iNat or voucher) of stipitata in there. More importantly is the historical precedent of the name Lagenophora stipitata being widely used to refer to what is now recognised as sublyrata (via the original combination for sublyrata, Ixauchenus sublyratus, being synonymised under L. stipitata). ",Lagenophora sublyrata,Lagenophora stipitata,misapplied,Asteraceae,3.dicot,native,,1,,,misapplied,misapplied,misapplied,,,,,XX-misapplied other list,XX-misapplied re parks list,XX-misapplied re parks list,(remove),,,,,
,Lagunaria patersonia,Lagunaria patersonia,current,Malvaceae,3.dicot,introduced,,,,1,,,,,,,,"remove, 03. horticultural","XX-not on parks list, not in park","XX-no voucher, not in park",(remove),,,,,
,Lagurus ovatus,Lagurus ovatus,current,Poaceae,4.monocot,introduced,,1,1,,1,1,,,1,,1," XX-not in iNat, yes in park",retain on list,retain voucher,recent_vouchers_only,1994,1994,none,,
,Lambertia formosa,Lambertia formosa,current,Proteaceae,3.dicot,native,155,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1887,2012,,2005,2024
,Lantana camara,Lantana camara,current,Verbenaceae,3.dicot,introduced,1,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,1988,1988
,Lantana montevidensis,Lantana montevidensis,current,Verbenaceae,3.dicot,introduced,1,,,1,,,1,,,,1,retain observation,"not on parks list, but occurs in park","no voucher, but exists in park",no_vouchers,,,,2020,2020
,Lasiopetalum ferrugineum,Lasiopetalum ferrugineum,current,Malvaceae,3.dicot,native,13,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1888,2005,,2019,2023
"I'm not convinced the iNat RG record is L. parviflorum, I think it's actually L. ferrugineum. A good spotting character for the two when in flower is the inner surface of the calyx; glabrous in parviflorum and hairy for ferrugineum. It's a bit difficult to make out, not the sharpest photo, but zooming in on the iNat images the calyces look to be hairy on the inner surfaces. Vouchers are good though, collected by Carol Wilkins. ",Lasiopetalum parviflorum,Lasiopetalum parviflorum,current,Malvaceae,3.dicot,native,,,1,1,,1,,,1,,1,"remove, 01. wrong ID","not on parks list, but occurs in park",retain voucher,recent_vouchers_only,2004,2004,,,
,Lasiopetalum rufum,Lasiopetalum rufum,current,Malvaceae,3.dicot,native,18,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1890,1991,,1989,2023
,Lastreopsis decomposita,Lastreopsis decomposita,current,Dryopteridaceae,1.ferns/primitive,native,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1897,1966,yes_unsure,,
,Lateristachys lateralis,Lateristachys lateralis,current,Lycopodiaceae,1.ferns/primitive,native,1,,,1,1,,1,,,,1,retain observation,"retain, synonym","no voucher, but exists in park",no_vouchers,,,,2023,2023
,Lateristachys lateralis,Lycopodiella lateralis,synonym,Lycopodiaceae,1.ferns/primitive,native,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym re parks list,XX-synonym re parks list,(remove),,,,,
,Laxmannia gracilis,Laxmannia gracilis,current,Asparagaceae,5.monocot-colorful,native,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1888,1892,none,,
,Legnephora moorei,Legnephora moorei,current,Menispermaceae,3.dicot,native,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1978,1978,none,,
,Leichhardtia flavescens,Leichhardtia flavescens,current,Apocynaceae,3.dicot,native,,,,,1,1,,1,,,1," XX-not in iNat, yes in park","retain, synonym","retain, synonym",old_vouchers_only,1899,1960,yes_unsure,,
,Leichhardtia flavescens,Marsdenia flavescens,synonym,Apocynaceae,3.dicot,native,,1,1,,synonym,synonym,synonym,,,,,XX-synonym other list,"XX-synonym re vouchers, parks",XX-synonym re parks & voucher,(remove),,,,,
,Leichhardtia rostrata,Leichhardtia rostrata,current,Apocynaceae,3.dicot,native,1,,,1,1,,1,,,,1,retain observation,"retain, synonym","no voucher, but exists in park",no_vouchers,,,,2020,2020
,Leichhardtia rostrata,Marsdenia rostrata,synonym,Apocynaceae,3.dicot,native,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym re parks list,XX-synonym re parks list,(remove),,,,,
,Leichhardtia suaveolens,Leichhardtia suaveolens,current,Apocynaceae,3.dicot,native,2,,,1,1,1,1,,1,,1,retain observation,"retain, synonym","retain, synonym",recent_vouchers_only,1993,1993,,2020,2022
,Leichhardtia suaveolens,Marsdenia suaveolens,synonym,Apocynaceae,3.dicot,native,,1,1,,synonym,synonym,synonym,,,,,XX-synonym other list,"XX-synonym re vouchers, parks",XX-synonym re parks & voucher,(remove),,,,,
,Leionema dentatum,Leionema dentatum,current,Rutaceae,3.dicot,native,8,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1924,1956,,2020,2023
